File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
100.epub,LZW,2742273,3708869,135.25,44.984,32.812,true,7.9966,8.0000,0.1002
1023.epub,LZW,1004759,1309549,130.33,33.368,20.763,true,7.9741,8.0000,0.1178
10554.epub,LZW,244101,308438,126.36,4.541,4.592,true,7.9300,8.0000,0.1235
10676.epub,LZW,453192,594740,131.23,7.422,5.279,true,7.9783,8.0000,0.0765
1080.epub,LZW,78444,98475,125.54,1.309,0.913,true,7.9496,8.0000,0.0912
11.epub,LZW,137695,179505,130.36,2.211,1.572,true,7.9584,8.0000,0.0698
1184.epub,LZW,1307107,1766734,135.16,21.218,19.644,true,7.9966,8.0000,0.0616
12474.epub,LZW,104631,137466,131.38,1.712,1.215,true,7.9894,8.0000,0.0456
1250.epub,LZW,116121,136690,117.71,3.440,1.273,true,7.7878,8.0000,0.1715
1259.epub,LZW,738406,991597,134.29,15.237,10.283,true,7.9953,8.0000,0.0539
1260.epub,LZW,560264,754555,134.68,10.597,7.168,true,7.9968,8.0000,0.0391
13415.epub,LZW,241329,321609,133.27,5.434,2.830,true,7.9958,8.0000,0.0372
1342.epub,LZW,561017,746227,133.01,18.675,10.455,true,7.9766,8.0000,0.0602
1400.epub,LZW,557560,752447,134.95,8.982,6.881,true,7.9946,8.0000,0.0399
14323.epub,LZW,292990,376749,128.59,8.524,5.084,true,7.9371,8.0000,0.0798
145.epub,LZW,910127,1230692,135.22,22.064,19.259,true,7.9959,8.0000,0.0475
1513.epub,LZW,147239,197245,133.96,4.782,2.263,true,7.9765,8.0000,0.0303
158.epub,LZW,482734,633337,131.20,8.770,5.768,true,7.9715,8.0000,0.0703
16328.epub,LZW,222656,296492,133.16,3.742,2.619,true,7.9946,8.0000,0.0373
16389.epub,LZW,274236,367182,133.89,6.805,6.367,true,7.9892,8.0000,0.0329
164.epub,LZW,374042,501368,134.04,6.073,9.853,true,7.9938,8.0000,0.0432
1661.epub,LZW,313279,423486,135.18,5.033,3.677,true,7.9935,8.0000,0.0213
17157.epub,LZW,189230,255383,134.96,3.254,2.167,true,7.9933,8.0000,0.0216
174.epub,LZW,265430,354473,133.55,4.643,2.974,true,7.9898,8.0000,0.0388
17489.epub,LZW,360056,484129,134.46,7.630,6.304,true,7.9974,8.0000,0.0299
18857.epub,LZW,287786,371993,129.26,6.402,4.377,true,7.9491,8.0000,0.0757
1952.epub,LZW,87921,117124,133.22,1.499,1.060,true,7.9646,8.0000,0.0252
1998.epub,LZW,526627,620159,117.76,10.510,6.989,true,7.8329,8.0000,0.2017
200.epub,LZW,3486313,4748328,136.20,90.141,62.839,true,7.9987,8.0000,0.1075
