File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
100.pdf,LZW,13331372,15170284,113.79,229.448,175.724,true,7.6972,8.0000,0.4946
1023.pdf,LZW,4670519,5962912,127.67,111.503,74.566,true,7.9295,8.0000,0.2583
10554.pdf,LZW,1076656,1350912,125.47,17.121,11.871,true,7.9088,8.0000,0.1964
10676.pdf,LZW,1630055,1661390,101.92,25.162,18.687,true,7.4542,8.0000,0.4542
1080.pdf,LZW,187662,222133,118.37,4.513,2.391,true,7.8703,8.0000,0.2378
11.pdf,LZW,509286,620966,121.93,11.353,6.794,true,7.8487,8.0000,0.2183
1184.pdf,LZW,6269126,7793709,124.32,127.998,86.356,true,7.8685,8.0000,0.3150
12474.pdf,LZW,308691,392392,127.11,4.882,3.460,true,7.9310,8.0000,0.1455
1250.pdf,LZW,446060,472385,105.90,6.342,4.461,true,7.7361,8.0000,0.3398
1259.pdf,LZW,3367075,4138299,122.90,52.747,37.495,true,7.8475,8.0000,0.2856
1260.pdf,LZW,2487233,3172301,127.54,46.726,34.766,true,7.9177,8.0000,0.2103
13415.pdf,LZW,1018949,1299060,127.49,16.550,11.713,true,7.9281,8.0000,0.1658
1342.pdf,LZW,2183393,2556630,117.09,33.138,25.716,true,7.8033,8.0000,0.2727
1400.pdf,LZW,2538846,3169365,124.83,41.105,28.989,true,7.8761,8.0000,0.2403
14323.pdf,LZW,1355259,1668899,123.14,21.446,14.954,true,7.9127,8.0000,0.2068
145.pdf,LZW,4339607,5471588,126.08,71.559,54.214,true,7.8958,8.0000,0.2619
1513.pdf,LZW,499530,591075,118.33,7.710,5.430,true,7.7886,8.0000,0.2470
158.pdf,LZW,2342247,2848801,121.63,36.099,26.394,true,7.8763,8.0000,0.2584
16328.pdf,LZW,1547179,1109588,71.72,19.908,13.639,true,6.8053,8.0000,0.6489
16389.pdf,LZW,1158053,1458112,125.91,19.008,13.492,true,7.8915,8.0000,0.1926
164.pdf,LZW,1655263,2018543,121.95,26.415,18.787,true,7.8371,8.0000,0.2558
