File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
100.txt,LZW,5618733,2972295,52.90,76.013,55.321,true,4.8885,6.6865,0.9968
1023.txt,LZW,2025034,1053528,52.03,32.829,31.635,true,4.6344,6.4094,0.9943
10554.txt,LZW,429818,223721,52.05,6.309,4.443,true,4.7062,6.4594,0.9796
10676.txt,LZW,695130,367383,52.85,9.628,7.334,true,4.5955,6.6294,0.9847
1080.txt,LZW,19954,10397,52.10,0.333,0.414,true,4.4399,6.1085,0.8542
11.txt,LZW,151191,76601,50.67,2.634,1.696,true,4.6703,6.3038,0.9557
1184.txt,LZW,2767390,1423243,51.43,40.821,31.030,true,4.6761,7.0112,0.9951
12474.txt,LZW,76174,40480,53.14,1.106,1.026,true,4.6627,6.2854,0.9229
1250.txt,LZW,110972,50160,45.20,1.456,1.087,true,4.2954,6.2854,0.9622
1259.txt,LZW,1455172,740331,50.88,25.724,20.460,true,4.7035,6.6865,0.9928
1260.txt,LZW,1065068,567905,53.32,15.939,12.092,true,4.6227,6.6147,0.9898
13415.txt,LZW,403558,213051,52.79,5.768,4.094,true,4.5328,6.3923,0.9786
1342.txt,LZW,752575,389145,51.71,11.467,8.603,true,4.5796,6.5999,0.9887
1400.txt,LZW,1038512,537546,51.76,19.176,12.411,true,4.6224,6.4429,0.9902
14323.txt,LZW,528055,284343,53.85,8.966,5.803,true,4.5319,6.5850,0.9810
145.txt,LZW,1846071,964349,52.24,32.232,21.125,true,4.5876,6.6865,0.9936
1513.txt,LZW,149774,79036,52.77,2.086,2.276,true,4.8837,6.2854,0.9560
158.txt,LZW,914078,474064,51.86,15.293,12.722,true,4.6206,6.4757,0.9906
16328.txt,LZW,300398,152670,50.82,5.533,4.049,true,4.5763,6.8329,0.9579
16389.txt,LZW,476266,242687,50.96,6.527,5.079,true,4.6104,6.6582,0.9820
164.txt,LZW,618734,328729,53.13,8.602,5.968,true,4.6300,6.6865,0.9832
1661.txt,LZW,607504,315762,51.98,11.715,8.279,true,4.6306,6.7142,0.9834
17157.txt,LZW,294069,155272,52.80,4.830,4.231,true,4.5566,6.3750,0.9693
174.txt,LZW,446090,233030,52.24,7.982,5.199,true,4.6059,6.4429,0.9815
17489.txt,LZW,697202,358492,51.42,10.161,7.178,true,4.5979,6.8455,0.9860
18857.txt,LZW,506684,266136,52.53,10.252,6.747,true,4.4754,6.5546,0.9813
1952.txt,LZW,32857,16725,50.90,0.570,0.362,true,4.5389,6.1293,0.8927
1998.txt,LZW,683067,358648,52.51,11.479,7.989,true,4.6803,6.5699,0.9815
200.txt,LZW,8078910,4284886,53.04,116.015,90.467,true,4.5808,6.7142,0.9954
2000.txt,LZW,2226045,1121289,50.37,32.045,31.019,true,4.5274,6.7682,0.9951
21279.txt,LZW,34049,17942,52.69,0.676,0.432,true,4.7343,6.5078,0.8679
215.txt,LZW,180051,92707,51.49,3.494,1.876,true,4.5022,6.3576,0.9658
2160.txt,LZW,853949,459997,53.87,14.783,10.997,true,4.4759,6.3923,0.9868
22914.txt,LZW,526235,268479,51.02,9.161,6.807,true,4.5048,7.0224,0.9828
23692.txt,LZW,558290,291058,52.13,7.789,7.002,true,4.5231,6.7415,0.9778
24151.txt,LZW,51429,26851,52.21,0.707,0.524,true,4.6386,6.4919,0.9002
24571.txt,LZW,40648,21202,52.16,0.575,0.389,true,4.8697,6.6582,0.8594
25305.txt,LZW,474948,244441,51.47,7.965,6.684,true,4.4072,6.4757,0.9852
2542.txt,LZW,149346,74694,50.01,2.503,2.056,true,4.8788,6.2668,0.9618
2554.txt,LZW,1159923,608542,52.46,20.805,14.658,true,4.5933,6.5850,0.9905
2591.txt,LZW,560045,272700,48.69,10.018,6.046,true,4.5410,6.5699,0.9847
2600.txt,LZW,3359405,1732032,51.56,47.719,39.869,true,4.6354,6.8826,0.9955
26184.txt,LZW,55701,29297,52.60,0.827,0.533,true,4.5992,6.3750,0.9147
26198.txt,LZW,594336,315382,53.06,8.247,5.870,true,4.5700,6.7004,0.9793
2641.txt,LZW,396185,209047,52.76,6.862,4.266,true,4.7003,6.4429,0.9787
2643.txt,LZW,231019,121748,52.70,3.152,2.653,true,4.5588,6.4919,0.9637
2701.txt,LZW,1256529,669359,53.27,17.979,16.263,true,4.5924,6.7415,0.9894
2707.txt,LZW,896008,446332,49.81,12.138,8.844,true,4.4784,6.6147,0.9879
28054.txt,LZW,2041800,1053571,51.60,34.910,28.631,true,4.6407,6.8074,0.9941
289.txt,LZW,338658,177425,52.39,5.605,4.277,true,4.6193,6.3399,0.9759
29418.txt,LZW,48294,25044,51.86,0.679,0.542,true,4.5918,6.4757,0.8981
3011.txt,LZW,473741,258633,54.59,8.209,5.748,true,4.6747,6.5999,0.9733
30254.txt,LZW,1056361,543094,51.41,14.555,13.401,true,4.4940,6.5546,0.9921
308.txt,LZW,393837,204371,51.89,6.740,3.708,true,4.5891,6.6294,0.9752
31516.txt,LZW,26010,13488,51.86,0.444,0.310,true,4.7411,6.5078,0.8534
3186.txt,LZW,248821,127670,51.31,5.101,3.384,true,4.5611,6.5078,0.9686
3189.txt,LZW,587807,312192,53.11,15.854,7.944,true,4.5937,6.6724,0.9769
345.txt,LZW,890196,463880,52.11,15.182,10.472,true,4.5666,6.7814,0.9870
35.txt,LZW,184747,96016,51.97,2.591,1.956,true,4.5237,6.3576,0.9654
36034.txt,LZW,668593,341067,51.01,9.536,7.378,true,4.4598,6.6865,0.9849
37106.txt,LZW,1113195,586202,52.66,15.462,15.992,true,4.5502,6.7944,0.9881
383.txt,LZW,154230,80146,51.97,2.646,2.640,true,4.8674,6.5078,0.9526
394.txt,LZW,421391,220477,52.32,5.726,5.004,true,4.5816,6.6724,0.9773
4085.txt,LZW,1099573,575000,52.29,17.678,12.357,true,4.4942,6.5078,0.9911
41445.txt,LZW,418121,218166,52.18,5.785,3.987,true,4.5031,6.5078,0.9818
43.txt,LZW,141160,74277,52.62,1.968,1.814,true,4.5245,6.3219,0.9544
4300.txt,LZW,1566717,859290,54.85,25.336,22.516,true,4.6916,6.9425,0.9879
4352.txt,LZW,248447,127886,51.47,5.226,3.003,true,4.4157,6.4919,0.9679
46303.txt,LZW,816153,434319,53.22,14.316,10.942,true,4.8988,6.6724,0.9806
5197.txt,LZW,1295355,679868,52.49,18.756,14.282,true,4.4712,6.7415,0.9909
5200.txt,LZW,142017,70898,49.92,2.507,1.709,true,4.5144,6.5392,0.9582
52026.txt,LZW,679146,366603,53.98,10.465,10.037,true,4.7014,6.7142,0.9789
5225.txt,LZW,603652,321480,53.26,8.619,5.862,true,4.5789,6.5546,0.9793
54279.txt,LZW,1630956,853362,52.32,28.629,22.448,true,4.6414,6.8704,0.9896
55231.txt,LZW,1428858,737982,51.65,53.957,31.777,true,4.6482,6.9542,0.9882
