File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/city_attributes.csv_1,Huffman,31,16,51.61,0.032,0.008,true,3.6679,3.8074,0.1034
data/sensor/city_attributes.csv_2,Huffman,37,21,56.76,0.018,0.007,true,4.1212,4.3219,0.0000
data/sensor/city_attributes.csv_3,Huffman,44,27,61.36,0.027,0.010,true,4.5615,4.7549,0.0000
data/sensor/city_attributes.csv_4,Huffman,49,29,59.18,0.022,0.008,true,4.4556,4.5850,0.0000
data/sensor/city_attributes.csv_5,Huffman,43,24,55.81,0.019,0.007,true,4.2199,4.4594,0.0000
data/sensor/city_attributes.csv_6,Huffman,47,28,59.57,0.023,0.009,true,4.4956,4.7004,0.0222
data/sensor/city_attributes.csv_7,Huffman,45,26,57.78,0.019,0.007,true,4.2969,4.4594,0.0000
data/sensor/city_attributes.csv_8,Huffman,45,27,60.00,0.024,0.008,true,4.4134,4.5850,0.0000
data/sensor/city_attributes.csv_9,Huffman,42,25,59.52,0.020,0.008,true,4.3860,4.5850,0.0000
data/sensor/city_attributes.csv_10,Huffman,47,29,61.70,0.024,0.008,true,4.6393,4.8074,0.0222
data/sensor/city_attributes.csv_11,Huffman,42,25,59.52,0.021,0.007,true,4.3977,4.5850,0.0000
data/sensor/city_attributes.csv_12,Huffman,45,26,57.78,0.024,0.009,true,4.2583,4.4594,0.0000
data/sensor/city_attributes.csv_13,Huffman,41,24,58.54,0.021,0.009,true,4.4362,4.5850,0.0000
data/sensor/city_attributes.csv_14,Huffman,42,25,59.52,0.021,0.007,true,4.4813,4.6439,0.0250
data/sensor/city_attributes.csv_15,Huffman,46,27,58.70,0.025,0.008,true,4.4743,4.6439,0.0000
data/sensor/city_attributes.csv_16,Huffman,45,26,57.78,0.023,0.008,true,4.3777,4.5850,0.0000
data/sensor/city_attributes.csv_17,Huffman,45,27,60.00,0.025,0.008,true,4.4470,4.5850,0.0000
data/sensor/city_attributes.csv_18,Huffman,42,26,61.90,0.022,0.008,true,4.5945,4.7549,0.0250
data/sensor/city_attributes.csv_19,Huffman,43,26,60.47,0.022,0.008,true,4.5013,4.6439,0.0000
data/sensor/city_attributes.csv_20,Huffman,47,28,59.57,0.021,0.008,true,4.5485,4.7004,0.0000
data/sensor/city_attributes.csv_21,Huffman,42,24,57.14,0.023,0.009,true,4.2641,4.4594,0.0000
data/sensor/city_attributes.csv_22,Huffman,42,25,59.52,0.027,0.008,true,4.3953,4.6439,0.0000
data/sensor/city_attributes.csv_23,Huffman,46,29,63.04,0.026,0.010,true,4.6753,4.8074,0.0000
data/sensor/city_attributes.csv_24,Huffman,44,27,61.36,0.027,0.009,true,4.5189,4.7549,0.0000
data/sensor/city_attributes.csv_25,Huffman,40,24,60.00,0.023,0.008,true,4.4964,4.6439,0.0000
data/sensor/city_attributes.csv_26,Huffman,44,27,61.36,0.026,0.009,true,4.5360,4.7549,0.0000
data/sensor/city_attributes.csv_27,Huffman,35,20,57.14,0.019,0.007,true,4.1503,4.3219,0.0000
data/sensor/city_attributes.csv_28,Huffman,47,28,59.57,0.025,0.009,true,4.4795,4.6439,0.0000
data/sensor/city_attributes.csv_29,Huffman,43,26,60.47,0.027,0.009,true,4.5767,4.7549,0.0000
data/sensor/city_attributes.csv_30,Huffman,36,20,55.56,0.020,0.012,true,4.1070,4.3219,0.0000
data/sensor/city_attributes.csv_31,Huffman,41,25,60.98,0.025,0.009,true,4.4915,4.6439,0.0000
data/sensor/city_attributes.csv_32,Huffman,35,19,54.29,0.020,0.008,true,4.1147,4.3219,0.0000
data/sensor/city_attributes.csv_33,Huffman,44,26,59.09,0.028,0.009,true,4.3431,4.5236,0.0476
data/sensor/city_attributes.csv_34,Huffman,31,17,54.84,0.018,0.007,true,4.1069,4.2479,0.0000
data/sensor/city_attributes.csv_35,Huffman,31,17,54.84,0.018,0.007,true,4.0826,4.2479,0.0000
data/sensor/city_attributes.csv_36,Huffman,35,19,54.29,0.019,0.007,true,3.9573,4.1699,0.0000
data/sensor/city_attributes.csv_37,Huffman,36,20,55.56,0.019,0.007,true,4.0623,4.2479,0.0000
