File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/city_attributes.csv_1,LZW,31,32,103.23,0.022,0.004,true,3.6679,3.8074,0.1034
data/sensor/city_attributes.csv_2,LZW,37,42,113.51,0.003,0.001,true,4.1212,4.3219,0.0000
data/sensor/city_attributes.csv_3,LZW,44,51,115.91,0.003,0.001,true,4.5615,4.7549,0.0000
data/sensor/city_attributes.csv_4,LZW,49,54,110.20,0.041,0.013,true,4.4556,4.5850,0.0000
data/sensor/city_attributes.csv_5,LZW,43,49,113.95,0.027,0.007,true,4.2199,4.4594,0.0000
data/sensor/city_attributes.csv_6,LZW,47,53,112.77,0.027,0.007,true,4.4956,4.7004,0.0222
data/sensor/city_attributes.csv_7,LZW,45,50,111.11,0.046,0.013,true,4.2969,4.4594,0.0000
data/sensor/city_attributes.csv_8,LZW,45,49,108.89,0.031,0.007,true,4.4134,4.5850,0.0000
data/sensor/city_attributes.csv_9,LZW,42,48,114.29,0.029,0.007,true,4.3860,4.5850,0.0000
data/sensor/city_attributes.csv_10,LZW,47,53,112.77,0.030,0.011,true,4.6393,4.8074,0.0222
data/sensor/city_attributes.csv_11,LZW,42,48,114.29,0.031,0.007,true,4.3977,4.5850,0.0000
data/sensor/city_attributes.csv_12,LZW,45,49,108.89,0.034,0.009,true,4.2583,4.4594,0.0000
data/sensor/city_attributes.csv_13,LZW,41,47,114.63,0.035,0.010,true,4.4362,4.5850,0.0000
data/sensor/city_attributes.csv_14,LZW,42,48,114.29,0.044,0.008,true,4.4813,4.6439,0.0250
data/sensor/city_attributes.csv_15,LZW,46,53,115.22,0.030,0.008,true,4.4743,4.6439,0.0000
data/sensor/city_attributes.csv_16,LZW,45,51,113.33,0.034,0.012,true,4.3777,4.5850,0.0000
data/sensor/city_attributes.csv_17,LZW,45,50,111.11,0.031,0.015,true,4.4470,4.5850,0.0000
data/sensor/city_attributes.csv_18,LZW,42,48,114.29,0.037,0.007,true,4.5945,4.7549,0.0250
data/sensor/city_attributes.csv_19,LZW,43,49,113.95,0.029,0.017,true,4.5013,4.6439,0.0000
data/sensor/city_attributes.csv_20,LZW,47,53,112.77,0.034,0.012,true,4.5485,4.7004,0.0000
data/sensor/city_attributes.csv_21,LZW,42,48,114.29,0.035,0.013,true,4.2641,4.4594,0.0000
data/sensor/city_attributes.csv_22,LZW,42,48,114.29,0.026,0.011,true,4.3953,4.6439,0.0000
data/sensor/city_attributes.csv_23,LZW,46,53,115.22,0.027,0.007,true,4.6753,4.8074,0.0000
data/sensor/city_attributes.csv_24,LZW,44,50,113.64,0.090,0.008,true,4.5189,4.7549,0.0000
data/sensor/city_attributes.csv_25,LZW,40,47,117.50,0.037,0.013,true,4.4964,4.6439,0.0000
data/sensor/city_attributes.csv_26,LZW,44,49,111.36,0.029,0.007,true,4.5360,4.7549,0.0000
data/sensor/city_attributes.csv_27,LZW,35,41,117.14,0.021,0.006,true,4.1503,4.3219,0.0000
data/sensor/city_attributes.csv_28,LZW,47,52,110.64,0.030,0.010,true,4.4795,4.6439,0.0000
data/sensor/city_attributes.csv_29,LZW,43,50,116.28,0.030,0.007,true,4.5767,4.7549,0.0000
data/sensor/city_attributes.csv_30,LZW,36,42,116.67,0.025,0.009,true,4.1070,4.3219,0.0000
data/sensor/city_attributes.csv_31,LZW,41,47,114.63,0.025,0.009,true,4.4915,4.6439,0.0000
data/sensor/city_attributes.csv_32,LZW,35,41,117.14,0.026,0.014,true,4.1147,4.3219,0.0000
data/sensor/city_attributes.csv_33,LZW,44,47,106.82,0.029,0.011,true,4.3431,4.5236,0.0476
data/sensor/city_attributes.csv_34,LZW,31,38,122.58,0.489,0.015,true,4.1069,4.2479,0.0000
data/sensor/city_attributes.csv_35,LZW,31,35,112.90,0.032,0.016,true,4.0826,4.2479,0.0000
data/sensor/city_attributes.csv_36,LZW,35,40,114.29,0.030,0.014,true,3.9573,4.1699,0.0000
data/sensor/city_attributes.csv_37,LZW,36,41,113.89,2.037,0.008,true,4.0623,4.2479,0.0000
