File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/humidity.csv_1,Huffman,364,214,58.79,0.093,0.040,true,4.6332,5.4594,0.1215
data/sensor/humidity.csv_2,Huffman,59,16,27.12,0.013,0.006,true,1.9823,3.1699,0.5789
data/sensor/humidity.csv_3,Huffman,200,83,41.50,0.024,0.015,true,3.2027,3.9069,0.6364
data/sensor/humidity.csv_4,Huffman,199,82,41.21,0.020,0.012,true,3.1956,3.9069,0.5685
data/sensor/humidity.csv_5,Huffman,199,82,41.21,0.018,0.011,true,3.1789,3.9069,0.5584
data/sensor/humidity.csv_6,Huffman,199,83,41.71,0.019,0.012,true,3.2286,3.9069,0.5076
data/sensor/humidity.csv_7,Huffman,199,84,42.21,0.019,0.012,true,3.2562,3.9069,0.5381
data/sensor/humidity.csv_8,Huffman,199,84,42.21,0.018,0.022,true,3.2704,3.9069,0.5381
data/sensor/humidity.csv_9,Huffman,199,84,42.21,0.019,0.013,true,3.2714,3.9069,0.5482
data/sensor/humidity.csv_10,Huffman,199,83,41.71,0.019,0.012,true,3.2270,3.9069,0.5431
data/sensor/humidity.csv_11,Huffman,199,83,41.71,0.019,0.011,true,3.2376,3.9069,0.5381
data/sensor/humidity.csv_12,Huffman,199,83,41.71,0.019,0.013,true,3.2414,3.9069,0.5076
data/sensor/humidity.csv_13,Huffman,199,83,41.71,0.023,0.012,true,3.2178,3.9069,0.5076
data/sensor/humidity.csv_14,Huffman,199,82,41.21,0.019,0.011,true,3.2080,3.9069,0.5381
data/sensor/humidity.csv_15,Huffman,199,83,41.71,0.019,0.011,true,3.2371,3.9069,0.5381
data/sensor/humidity.csv_16,Huffman,199,83,41.71,0.021,0.011,true,3.2218,3.9069,0.5330
data/sensor/humidity.csv_17,Huffman,199,83,41.71,0.020,0.011,true,3.2255,3.9069,0.5431
data/sensor/humidity.csv_18,Huffman,199,84,42.21,0.018,0.011,true,3.2534,3.9069,0.5279
data/sensor/humidity.csv_19,Huffman,199,84,42.21,0.019,0.012,true,3.2775,3.9069,0.5178
data/sensor/humidity.csv_20,Huffman,199,84,42.21,0.024,0.011,true,3.2627,3.9069,0.5178
data/sensor/humidity.csv_21,Huffman,199,83,41.71,0.018,0.011,true,3.2418,3.9069,0.5025
data/sensor/humidity.csv_22,Huffman,199,83,41.71,0.023,0.015,true,3.2188,3.9069,0.5330
data/sensor/humidity.csv_23,Huffman,199,84,42.21,0.018,0.012,true,3.2563,3.9069,0.5482
data/sensor/humidity.csv_24,Huffman,199,83,41.71,0.018,0.010,true,3.2444,3.9069,0.5533
data/sensor/humidity.csv_25,Huffman,199,84,42.21,0.019,0.012,true,3.2631,3.9069,0.5482
data/sensor/humidity.csv_26,Huffman,198,84,42.42,0.020,0.012,true,3.2833,3.9069,0.5306
data/sensor/humidity.csv_27,Huffman,195,82,42.05,0.015,0.009,true,3.2677,3.9069,0.5078
data/sensor/humidity.csv_28,Huffman,195,83,42.56,0.178,0.010,true,3.2972,3.9069,0.5389
data/sensor/humidity.csv_29,Huffman,199,82,41.21,0.016,0.009,true,3.1985,3.9069,0.5635
data/sensor/humidity.csv_30,Huffman,180,73,40.56,0.021,0.011,true,3.1646,3.9069,0.5169
data/sensor/humidity.csv_31,Huffman,172,71,41.28,0.014,0.008,true,3.2061,3.9069,0.4882
data/sensor/humidity.csv_32,Huffman,197,84,42.64,0.016,0.011,true,3.2841,3.9069,0.5436
data/sensor/humidity.csv_33,Huffman,171,71,41.52,0.015,0.009,true,3.2079,3.9069,0.5089
data/sensor/humidity.csv_34,Huffman,187,79,42.25,0.015,0.008,true,3.2519,3.9069,0.5135
data/sensor/humidity.csv_35,Huffman,184,76,41.30,0.015,0.008,true,3.2187,3.9069,0.4945
data/sensor/humidity.csv_36,Huffman,190,80,42.11,0.016,0.008,true,3.2465,3.9069,0.4734
data/sensor/humidity.csv_37,Huffman,189,80,42.33,0.014,0.008,true,3.2673,3.9069,0.5508
data/sensor/humidity.csv_38,Huffman,190,79,41.58,0.014,0.009,true,3.2359,3.9069,0.5372
data/sensor/humidity.csv_39,Huffman,193,80,41.45,0.014,0.008,true,3.2222,3.9069,0.5445
data/sensor/humidity.csv_40,Huffman,194,82,42.27,0.019,0.008,true,3.2637,3.9069,0.5156
data/sensor/humidity.csv_41,Huffman,188,79,42.02,0.014,0.011,true,3.2482,3.9069,0.5161
data/sensor/humidity.csv_42,Huffman,191,80,41.88,0.014,0.008,true,3.2352,3.9069,0.5503
data/sensor/humidity.csv_43,Huffman,199,85,42.71,0.016,0.009,true,3.2946,3.9069,0.6091
data/sensor/humidity.csv_44,Huffman,195,82,42.05,0.015,0.010,true,3.2475,3.9069,0.5596
data/sensor/humidity.csv_45,Huffman,201,83,41.29,0.015,0.009,true,3.1843,3.9069,0.5678
data/sensor/humidity.csv_46,Huffman,185,76,41.08,0.014,0.009,true,3.1713,3.9069,0.4973
data/sensor/humidity.csv_47,Huffman,201,84,41.79,0.015,0.009,true,3.2166,3.9069,0.5377
data/sensor/humidity.csv_48,Huffman,197,81,41.12,0.014,0.012,true,3.1883,3.9069,0.5333
data/sensor/humidity.csv_49,Huffman,185,76,41.08,0.015,0.008,true,3.1976,3.9069,0.5574
data/sensor/humidity.csv_50,Huffman,192,79,41.15,0.014,0.009,true,3.1782,3.9069,0.5158
data/sensor/humidity.csv_51,Huffman,201,84,41.79,0.015,0.009,true,3.2356,3.9069,0.5528
data/sensor/humidity.csv_52,Huffman,191,80,41.88,0.014,0.009,true,3.2545,3.9069,0.5185
data/sensor/humidity.csv_53,Huffman,191,81,42.41,0.015,0.009,true,3.2551,3.9069,0.5450
data/sensor/humidity.csv_54,Huffman,194,82,42.27,0.014,0.014,true,3.2442,3.9069,0.5365
data/sensor/humidity.csv_55,Huffman,192,80,41.67,0.014,0.009,true,3.2366,3.9069,0.5105
data/sensor/humidity.csv_56,Huffman,195,83,42.56,0.016,0.010,true,3.2967,3.9069,0.5078
data/sensor/humidity.csv_57,Huffman,195,82,42.05,0.014,0.008,true,3.2568,3.9069,0.5130
data/sensor/humidity.csv_58,Huffman,194,81,41.75,0.015,0.009,true,3.2395,3.9069,0.4844
data/sensor/humidity.csv_59,Huffman,195,82,42.05,0.014,0.009,true,3.2484,3.9069,0.5285
data/sensor/humidity.csv_60,Huffman,196,83,42.35,0.015,0.009,true,3.2546,3.9069,0.5206
data/sensor/humidity.csv_61,Huffman,197,83,42.13,0.015,0.009,true,3.2478,3.9069,0.5333
data/sensor/humidity.csv_62,Huffman,188,79,42.02,0.015,0.008,true,3.2300,3.9069,0.5323
data/sensor/humidity.csv_63,Huffman,194,81,41.75,0.015,0.009,true,3.2236,3.9069,0.5208
data/sensor/humidity.csv_64,Huffman,195,82,42.05,0.015,0.008,true,3.2525,3.9069,0.5596
data/sensor/humidity.csv_65,Huffman,200,84,42.00,0.016,0.009,true,3.2402,3.9069,0.5657
data/sensor/humidity.csv_66,Huffman,200,84,42.00,0.015,0.009,true,3.2386,3.9069,0.5808
data/sensor/humidity.csv_67,Huffman,201,85,42.29,0.015,0.009,true,3.2638,3.9069,0.5879
data/sensor/humidity.csv_68,Huffman,202,83,41.09,0.015,0.011,true,3.1798,3.9069,0.6300
data/sensor/humidity.csv_69,Huffman,195,75,38.46,0.015,0.009,true,2.9741,3.9069,0.6166
data/sensor/humidity.csv_70,Huffman,202,83,41.09,0.014,0.009,true,3.1833,3.9069,0.6050
data/sensor/humidity.csv_71,Huffman,190,79,41.58,0.015,0.009,true,3.1963,3.9069,0.5745
data/sensor/humidity.csv_72,Huffman,200,82,41.00,0.014,0.009,true,3.1709,3.9069,0.5960
data/sensor/humidity.csv_73,Huffman,198,82,41.41,0.015,0.010,true,3.1985,3.9069,0.5867
data/sensor/humidity.csv_74,Huffman,203,84,41.38,0.015,0.009,true,3.2133,3.9069,0.6020
data/sensor/humidity.csv_75,Huffman,181,75,41.44,0.014,0.008,true,3.2127,3.9069,0.4972
data/sensor/humidity.csv_76,Huffman,184,78,42.39,0.015,0.008,true,3.2622,3.9069,0.4835
data/sensor/humidity.csv_77,Huffman,189,79,41.80,0.015,0.018,true,3.2517,3.9069,0.5775
data/sensor/humidity.csv_78,Huffman,195,82,42.05,0.015,0.009,true,3.2640,3.9069,0.4974
data/sensor/humidity.csv_79,Huffman,195,82,42.05,0.018,0.008,true,3.2676,3.9069,0.5544
data/sensor/humidity.csv_80,Huffman,194,82,42.27,0.014,0.009,true,3.2650,3.9069,0.5104
data/sensor/humidity.csv_81,Huffman,194,81,41.75,0.015,0.009,true,3.2243,3.9069,0.5104
data/sensor/humidity.csv_82,Huffman,190,79,41.58,0.015,0.009,true,3.2169,3.9069,0.4947
data/sensor/humidity.csv_83,Huffman,194,82,42.27,0.014,0.009,true,3.2496,3.9069,0.5312
data/sensor/humidity.csv_84,Huffman,189,79,41.80,0.020,0.009,true,3.2506,3.9069,0.5294
data/sensor/humidity.csv_85,Huffman,194,81,41.75,0.015,0.008,true,3.2125,3.9069,0.5365
data/sensor/humidity.csv_86,Huffman,189,79,41.80,0.014,0.009,true,3.2234,3.9069,0.5080
data/sensor/humidity.csv_87,Huffman,197,82,41.62,0.015,0.011,true,3.2316,3.9069,0.5590
data/sensor/humidity.csv_88,Huffman,200,83,41.50,0.016,0.010,true,3.2149,3.9069,0.5758
data/sensor/humidity.csv_89,Huffman,197,82,41.62,0.014,0.009,true,3.2173,3.9069,0.5692
data/sensor/humidity.csv_90,Huffman,193,80,41.45,0.014,0.008,true,3.2064,3.9069,0.5759
data/sensor/humidity.csv_91,Huffman,197,82,41.62,0.014,0.009,true,3.2039,3.9069,0.5590
