File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/humidity.csv_1,LZW,364,303,83.24,0.033,0.015,true,4.6332,5.4594,0.1215
data/sensor/humidity.csv_2,LZW,59,35,59.32,0.005,0.003,true,1.9823,3.1699,0.5789
data/sensor/humidity.csv_3,LZW,200,114,57.00,0.011,0.006,true,3.2027,3.9069,0.6364
data/sensor/humidity.csv_4,LZW,199,116,58.29,0.016,0.014,true,3.1956,3.9069,0.5685
data/sensor/humidity.csv_5,LZW,199,115,57.79,0.012,0.005,true,3.1789,3.9069,0.5584
data/sensor/humidity.csv_6,LZW,199,119,59.80,0.012,0.005,true,3.2286,3.9069,0.5076
data/sensor/humidity.csv_7,LZW,199,120,60.30,0.011,0.007,true,3.2562,3.9069,0.5381
data/sensor/humidity.csv_8,LZW,199,119,59.80,0.012,0.005,true,3.2704,3.9069,0.5381
data/sensor/humidity.csv_9,LZW,199,119,59.80,0.064,0.005,true,3.2714,3.9069,0.5482
data/sensor/humidity.csv_10,LZW,199,119,59.80,0.051,0.018,true,3.2270,3.9069,0.5431
data/sensor/humidity.csv_11,LZW,199,114,57.29,0.053,0.013,true,3.2376,3.9069,0.5381
data/sensor/humidity.csv_12,LZW,199,121,60.80,0.054,0.013,true,3.2414,3.9069,0.5076
data/sensor/humidity.csv_13,LZW,199,116,58.29,0.068,0.018,true,3.2178,3.9069,0.5076
data/sensor/humidity.csv_14,LZW,199,117,58.79,0.049,0.011,true,3.2080,3.9069,0.5381
data/sensor/humidity.csv_15,LZW,199,120,60.30,0.044,0.010,true,3.2371,3.9069,0.5381
data/sensor/humidity.csv_16,LZW,199,117,58.79,0.056,0.016,true,3.2218,3.9069,0.5330
data/sensor/humidity.csv_17,LZW,199,116,58.29,0.038,0.020,true,3.2255,3.9069,0.5431
data/sensor/humidity.csv_18,LZW,199,122,61.31,0.048,0.012,true,3.2534,3.9069,0.5279
data/sensor/humidity.csv_19,LZW,199,123,61.81,0.047,0.014,true,3.2775,3.9069,0.5178
data/sensor/humidity.csv_20,LZW,199,124,62.31,0.042,0.014,true,3.2627,3.9069,0.5178
data/sensor/humidity.csv_21,LZW,199,123,61.81,0.040,0.009,true,3.2418,3.9069,0.5025
data/sensor/humidity.csv_22,LZW,199,123,61.81,0.038,0.012,true,3.2188,3.9069,0.5330
data/sensor/humidity.csv_23,LZW,199,120,60.30,0.044,0.010,true,3.2563,3.9069,0.5482
