File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
001.jpg,LZW,95555,128736,134.72,1.619,1.328,true,7.9835,8.0000,0.0132
002.jpg,LZW,33338,42345,127.02,0.685,0.496,true,7.9182,8.0000,0.0654
003.jpg,LZW,114383,154260,134.86,2.247,1.349,true,7.9841,8.0000,0.0109
004.jpg,LZW,103061,139302,135.16,1.813,1.186,true,7.9773,8.0000,0.0097
005.jpg,LZW,30168,39030,129.38,0.645,0.451,true,7.9229,8.0000,0.0306
006.jpg,LZW,67862,90829,133.84,1.458,0.931,true,7.9780,8.0000,0.0121
007.jpg,LZW,37226,49100,131.90,0.669,0.459,true,7.9194,8.0000,0.0156
008.jpg,LZW,28230,36920,130.78,0.503,0.352,true,7.9295,8.0000,0.0278
009.jpg,LZW,91503,122336,133.70,2.022,1.288,true,7.9844,8.0000,0.0144
010.jpg,LZW,75681,101985,134.76,1.564,1.091,true,7.9691,8.0000,0.0096
011.jpg,LZW,26500,34109,128.71,0.540,0.323,true,7.9058,8.0000,0.0381
012.jpg,LZW,43686,57184,130.90,0.709,0.499,true,7.9387,8.0000,0.0379
013.jpg,LZW,82321,108882,132.27,1.651,1.230,true,7.9836,8.0000,0.0254
014.jpg,LZW,51465,68738,133.56,1.844,0.802,true,7.9727,8.0000,0.0132
015.jpg,LZW,52255,69508,133.02,1.646,0.739,true,7.9591,8.0000,0.0200
016.jpg,LZW,89038,119300,133.99,1.788,2.157,true,7.9729,8.0000,0.0172
017.jpg,LZW,48601,64430,132.57,1.735,0.776,true,7.9660,8.0000,0.0239
018.jpg,LZW,81989,110531,134.81,1.656,1.323,true,7.9834,8.0000,0.0105
019.jpg,LZW,46099,61141,132.63,1.006,0.723,true,7.9675,8.0000,0.0167
020.jpg,LZW,22019,27042,122.81,0.519,0.367,true,7.8489,8.0000,0.0807
021.jpg,LZW,94444,126708,134.16,1.712,2.103,true,7.9779,8.0000,0.0154
022.jpg,LZW,98269,132481,134.81,2.111,1.196,true,7.9852,8.0000,0.0108
023.jpg,LZW,78010,103055,132.10,2.310,1.237,true,7.9777,8.0000,0.0265
024.jpg,LZW,35109,46145,131.43,0.640,0.578,true,7.9460,8.0000,0.0183
025.jpg,LZW,38673,50903,131.62,0.878,0.601,true,7.9439,8.0000,0.0251
026.jpg,LZW,42012,55839,132.91,0.952,0.819,true,7.9625,8.0000,0.0155
027.jpg,LZW,49806,65111,130.73,1.658,1.307,true,7.9457,8.0000,0.0307
028.jpg,LZW,35766,47316,132.29,0.892,0.524,true,7.9235,8.0000,0.0190
029.jpg,LZW,78165,105370,134.80,1.862,1.123,true,7.9727,8.0000,0.0093
030.jpg,LZW,76194,102237,134.18,1.583,1.150,true,7.9696,8.0000,0.0156
031.jpg,LZW,98269,132481,134.81,1.870,1.333,true,7.9852,8.0000,0.0108
032.jpg,LZW,82807,111620,134.80,1.562,1.258,true,7.9848,8.0000,0.0116
033.jpg,LZW,42767,55876,130.65,0.831,0.583,true,7.9112,8.0000,0.0358
034.jpg,LZW,42808,55428,129.48,0.834,0.577,true,7.9451,8.0000,0.0382
035.jpg,LZW,79012,105126,133.05,1.594,1.045,true,7.9762,8.0000,0.0174
036.jpg,LZW,100590,135700,134.90,1.890,1.436,true,7.9716,8.0000,0.0104
037.jpg,LZW,54574,72833,133.46,1.037,0.710,true,7.9646,8.0000,0.0167
038.jpg,LZW,124742,168107,134.76,2.734,1.734,true,7.9867,8.0000,0.0118
039.jpg,LZW,69644,93739,134.60,1.329,0.903,true,7.9872,8.0000,0.0099
040.jpg,LZW,78034,103871,133.11,1.560,1.076,true,7.9783,8.0000,0.0189
041.jpg,LZW,56498,75306,133.29,1.201,0.738,true,7.9783,8.0000,0.0142
042.jpg,LZW,90121,120676,133.90,2.696,1.889,true,7.9732,8.0000,0.0161
043.jpg,LZW,35799,45213,126.30,0.733,0.487,true,7.9517,8.0000,0.0591
044.jpg,LZW,58837,78139,132.81,1.219,0.795,true,7.9762,8.0000,0.0220
045.jpg,LZW,18869,23183,122.86,0.424,0.285,true,7.8483,8.0000,0.0713
046.jpg,LZW,27736,34934,125.95,0.601,0.423,true,7.9304,8.0000,0.0599
047.jpg,LZW,66549,88659,133.22,1.580,1.262,true,7.9781,8.0000,0.0176
048.jpg,LZW,86581,115939,133.91,1.686,1.162,true,7.9805,8.0000,0.0150
049.jpg,LZW,51151,68380,133.68,1.102,0.667,true,7.9759,8.0000,0.0148
050.jpg,LZW,40353,53670,133.00,0.763,0.549,true,7.9680,8.0000,0.0199
051.jpg,LZW,43686,57184,130.90,0.835,1.689,true,7.9387,8.0000,0.0379
052.jpg,LZW,91710,123053,134.18,1.778,1.198,true,7.9770,8.0000,0.0130
053.jpg,LZW,65065,86654,133.18,1.342,0.938,true,7.9570,8.0000,0.0207
054.jpg,LZW,64861,87037,134.19,1.574,1.904,true,7.9715,8.0000,0.0146
055.jpg,LZW,101845,136555,134.08,2.704,1.384,true,7.9840,8.0000,0.0201
056.jpg,LZW,73183,98010,133.92,1.563,0.954,true,7.9668,8.0000,0.0113
057.jpg,LZW,51817,69064,133.28,1.437,0.680,true,7.9576,8.0000,0.0169
058.jpg,LZW,83021,111579,134.40,1.638,1.085,true,7.9754,8.0000,0.0115
059.jpg,LZW,113776,153376,134.81,2.261,1.485,true,7.9850,8.0000,0.0099
060.jpg,LZW,36975,48724,131.78,0.695,0.520,true,7.9381,8.0000,0.0190
061.jpg,LZW,110755,149671,135.14,2.212,1.404,true,7.9786,8.0000,0.0095
062.jpg,LZW,55665,73443,131.94,2.078,1.128,true,7.9511,8.0000,0.0259
063.jpg,LZW,113388,153293,135.19,1.958,1.335,true,7.9755,8.0000,0.0098
064.jpg,LZW,70711,94495,133.64,1.245,0.804,true,7.9732,8.0000,0.0145
065.jpg,LZW,94104,126186,134.09,1.521,1.237,true,7.9807,8.0000,0.0163
066.jpg,LZW,41439,54696,131.99,1.278,0.916,true,7.9349,8.0000,0.0277
067.jpg,LZW,67111,89236,132.97,1.222,1.132,true,7.9704,8.0000,0.0159
068.jpg,LZW,56498,75306,133.29,0.981,0.680,true,7.9783,8.0000,0.0142
069.jpg,LZW,65279,87185,133.56,1.359,0.922,true,7.9740,8.0000,0.0127
070.jpg,LZW,73388,97518,132.88,1.279,0.854,true,7.9704,8.0000,0.0226
071.jpg,LZW,52475,69808,133.03,1.085,0.755,true,7.9695,8.0000,0.0177
072.jpg,LZW,36271,47720,131.57,0.673,0.523,true,7.9588,8.0000,0.0228
