File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
001.png,LZW,814066,1084995,133.28,16.880,10.566,true,7.9782,8.0000,0.0890
002.png,LZW,222841,297564,133.53,3.669,2.520,true,7.9876,8.0000,0.0361
003.png,LZW,945265,1216816,128.73,16.235,12.701,true,7.9511,8.0000,0.2082
004.png,LZW,907581,1209754,133.29,15.590,11.514,true,7.9778,8.0000,0.0789
005.png,LZW,128337,174108,135.66,2.189,1.463,true,7.9930,8.0000,0.0076
006.png,LZW,619372,826374,133.42,10.641,7.344,true,7.9811,8.0000,0.0599
007.png,LZW,342147,460424,134.57,5.470,4.101,true,7.9938,8.0000,0.0455
008.png,LZW,299160,405653,135.60,5.066,3.667,true,7.9940,8.0000,0.0171
009.png,LZW,692715,892304,128.81,14.820,8.658,true,7.9724,8.0000,0.1400
010.png,LZW,669805,885222,132.16,10.907,7.602,true,7.9658,8.0000,0.0908
011.png,LZW,211057,283138,134.15,3.471,2.505,true,7.9873,8.0000,0.0338
012.png,LZW,330314,430437,130.31,5.784,4.202,true,7.9715,8.0000,0.0894
013.png,LZW,695424,919715,132.25,11.805,8.379,true,7.9712,8.0000,0.0807
014.png,LZW,509909,683038,133.95,8.372,6.002,true,7.9856,8.0000,0.0404
015.png,LZW,394769,524347,132.82,6.452,4.509,true,7.9879,8.0000,0.0641
016.png,LZW,719471,937693,130.33,11.773,8.545,true,7.9668,8.0000,0.1299
017.png,LZW,384705,506823,131.74,6.576,4.981,true,7.9709,8.0000,0.0826
018.png,LZW,735650,981048,133.36,30.052,19.635,true,7.9854,8.0000,0.0823
019.png,LZW,413506,558325,135.02,7.118,4.715,true,7.9923,8.0000,0.0306
020.png,LZW,211035,285658,135.36,3.451,2.371,true,7.9913,8.0000,0.0139
021.png,LZW,768324,1013377,131.89,13.866,9.128,true,7.9669,8.0000,0.1085
022.png,LZW,799055,1059394,132.58,13.405,10.335,true,7.9752,8.0000,0.1070
023.png,LZW,459577,599643,130.48,7.756,5.408,true,7.9895,8.0000,0.1035
024.png,LZW,346516,466780,134.71,5.674,4.163,true,7.9853,8.0000,0.0290
025.png,LZW,366425,493580,134.70,6.270,4.551,true,7.9882,8.0000,0.0300
026.png,LZW,402475,541077,134.44,7.113,4.881,true,7.9903,8.0000,0.0385
027.png,LZW,364074,476001,130.74,5.935,4.157,true,7.9788,8.0000,0.0806
028.png,LZW,291216,390761,134.18,5.034,3.393,true,7.9919,8.0000,0.0442
029.png,LZW,739847,992761,134.18,12.381,8.857,true,7.9857,8.0000,0.0564
030.png,LZW,644395,851672,132.17,11.000,8.348,true,7.9771,8.0000,0.0893
031.png,LZW,799055,1059395,132.58,13.238,9.194,true,7.9752,8.0000,0.1070
032.png,LZW,759669,1020075,134.28,16.474,10.260,true,7.9849,8.0000,0.0646
033.png,LZW,357841,469120,131.10,11.758,7.215,true,7.9737,8.0000,0.0697
034.png,LZW,390603,520252,133.19,6.339,4.430,true,7.9770,8.0000,0.0458
035.png,LZW,602730,764533,126.85,10.343,7.166,true,7.9354,8.0000,0.1767
036.png,LZW,812201,1059391,130.43,13.921,10.028,true,7.9511,8.0000,0.1616
037.png,LZW,498422,667519,133.93,9.644,5.764,true,7.9772,8.0000,0.0531
038.png,LZW,977601,1280265,130.96,16.606,11.785,true,7.9714,8.0000,0.1348
039.png,LZW,636075,849794,133.60,10.385,7.262,true,7.9828,8.0000,0.0720
040.png,LZW,651758,869089,133.35,13.761,8.884,true,7.9793,8.0000,0.0661
041.png,LZW,511369,685580,134.07,9.062,5.858,true,7.9872,8.0000,0.0457
042.png,LZW,789807,1041295,131.84,13.859,11.048,true,7.9751,8.0000,0.1174
043.png,LZW,326996,438658,134.15,5.282,3.720,true,7.9883,8.0000,0.0364
044.png,LZW,487246,647601,132.91,8.624,5.557,true,7.9837,8.0000,0.0652
045.png,LZW,158440,213301,134.63,6.450,4.664,true,7.9887,8.0000,0.0160
046.png,LZW,243264,328661,135.10,5.445,3.920,true,7.9920,8.0000,0.0162
047.png,LZW,557295,741234,133.01,9.477,6.477,true,7.9753,8.0000,0.0677
048.png,LZW,753357,995330,132.12,13.013,9.952,true,7.9808,8.0000,0.0965
049.png,LZW,447680,599524,133.92,7.571,5.169,true,7.9875,8.0000,0.0499
050.png,LZW,342435,458407,133.87,5.731,4.309,true,7.9823,8.0000,0.0378
051.png,LZW,330314,430435,130.31,6.151,3.789,true,7.9715,8.0000,0.0894
052.png,LZW,794025,1054206,132.77,14.440,9.526,true,7.9741,8.0000,0.0784
053.png,LZW,208748,283468,135.79,3.432,2.339,true,7.9939,8.0000,0.0100
054.png,LZW,609846,810391,132.88,10.502,7.823,true,7.9738,8.0000,0.0803
055.png,LZW,793640,1049996,132.30,13.938,9.154,true,7.9793,8.0000,0.0970
056.png,LZW,255343,347363,136.04,4.140,2.859,true,7.9958,8.0000,0.0107
057.png,LZW,499977,667063,133.42,8.164,5.685,true,7.9785,8.0000,0.0551
058.png,LZW,747175,988605,132.31,15.126,8.838,true,7.9702,8.0000,0.0905
059.png,LZW,957267,1249253,130.50,15.754,11.228,true,7.9555,8.0000,0.1580
060.png,LZW,319938,431496,134.87,5.142,3.588,true,7.9928,8.0000,0.0293
061.png,LZW,941426,1222505,129.86,16.174,13.046,true,7.9529,8.0000,0.1729
062.png,LZW,443967,573432,129.16,13.139,6.876,true,7.9583,8.0000,0.1260
063.png,LZW,949213,1250732,131.77,71.845,68.294,true,7.9618,8.0000,0.1412
064.png,LZW,637966,840782,131.79,12.333,7.823,true,7.9765,8.0000,0.0901
065.png,LZW,755411,991934,131.31,15.805,9.675,true,7.9756,8.0000,0.1210
066.png,LZW,144982,196863,135.78,2.349,1.624,true,7.9922,8.0000,0.0086
067.png,LZW,562475,746748,132.76,11.664,9.286,true,7.9720,8.0000,0.0726
068.png,LZW,511369,685578,134.07,8.485,6.891,true,7.9872,8.0000,0.0457
069.png,LZW,605487,810397,133.84,13.686,7.727,true,7.9833,8.0000,0.0641
070.png,LZW,557226,704779,126.48,9.440,6.571,true,7.9416,8.0000,0.1764
071.png,LZW,420816,560853,133.28,8.341,6.516,true,7.9875,8.0000,0.0593
072.png,LZW,377618,510086,135.08,6.376,4.485,true,7.9892,8.0000,0.0280
073.png,LZW,601137,806986,134.24,9.800,6.740,true,7.9814,8.0000,0.0596
074.png,LZW,670646,887061,132.27,11.141,7.958,true,7.9719,8.0000,0.1087
075.png,LZW,306656,412296,134.45,4.957,3.445,true,7.9940,8.0000,0.0388
076.png,LZW,800302,1052244,131.48,14.580,10.682,true,7.9762,8.0000,0.1329
077.png,LZW,407893,550585,134.98,8.314,6.306,true,7.9872,8.0000,0.0292
078.png,LZW,494005,639656,129.48,8.696,6.357,true,7.9797,8.0000,0.1299
079.png,LZW,605327,781892,129.17,10.565,7.092,true,7.9857,8.0000,0.1669
080.png,LZW,173602,234985,135.36,2.916,2.075,true,7.9941,8.0000,0.0118
081.png,LZW,484658,620391,128.01,8.138,5.613,true,7.9609,8.0000,0.1372
082.png,LZW,357002,478825,134.12,5.723,4.139,true,7.9869,8.0000,0.0378
083.png,LZW,720302,944738,131.16,12.174,8.914,true,7.9656,8.0000,0.1079
084.png,LZW,623706,808276,129.59,10.229,7.190,true,7.9758,8.0000,0.1571
085.png,LZW,558608,747708,133.85,9.630,6.322,true,7.9777,8.0000,0.0630
086.png,LZW,277707,371783,133.88,4.863,3.509,true,7.9837,8.0000,0.0296
087.png,LZW,378962,492755,130.03,6.331,4.865,true,7.9860,8.0000,0.0943
088.png,LZW,774299,1024378,132.30,13.403,9.226,true,7.9723,8.0000,0.1020
089.png,LZW,216016,292328,135.33,3.867,2.450,true,7.9917,8.0000,0.0146
090.png,LZW,547535,733877,134.03,9.509,6.434,true,7.9755,8.0000,0.0553
091.png,LZW,726895,955877,131.50,11.936,8.390,true,7.9762,8.0000,0.1290
092.png,LZW,707036,925197,130.86,11.779,8.472,true,7.9749,8.0000,0.1255
093.png,LZW,276868,373807,135.01,4.507,3.066,true,7.9894,8.0000,0.0207
094.png,LZW,626877,842991,134.47,10.481,7.771,true,7.9867,8.0000,0.0420
095.png,LZW,866043,1130699,130.56,18.738,10.913,true,7.9527,8.0000,0.1593
096.png,LZW,547598,722915,132.02,9.188,6.540,true,7.9745,8.0000,0.0818
