File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
001.webp,LZW,73494,100359,136.55,1.621,1.026,true,7.9967,8.0000,0.0037
002.webp,LZW,14326,19205,134.06,0.304,0.209,true,7.9661,8.0000,0.0169
003.webp,LZW,105884,144904,136.85,2.233,1.509,true,7.9979,8.0000,0.0042
004.webp,LZW,87532,119643,136.68,1.476,1.026,true,7.9976,8.0000,0.0035
005.webp,LZW,16736,22666,135.43,0.282,0.301,true,7.9815,8.0000,0.0056
006.webp,LZW,38824,53056,136.66,0.638,0.438,true,7.9928,8.0000,0.0032
007.webp,LZW,20018,27199,135.87,0.341,0.254,true,7.9840,8.0000,0.0053
008.webp,LZW,12210,16476,134.94,0.222,0.156,true,7.9718,8.0000,0.0075
009.webp,LZW,76868,105044,136.66,1.235,0.870,true,7.9972,8.0000,0.0035
010.webp,LZW,54310,74139,136.51,1.108,0.766,true,7.9956,8.0000,0.0032
011.webp,LZW,11428,15430,135.02,0.472,0.179,true,7.9666,8.0000,0.0088
012.webp,LZW,31406,42783,136.23,0.635,0.450,true,7.9906,8.0000,0.0062
013.webp,LZW,66750,91251,136.71,2.167,0.935,true,7.9970,8.0000,0.0032
014.webp,LZW,33150,45136,136.16,0.794,0.539,true,7.9910,8.0000,0.0035
015.webp,LZW,34968,47711,136.44,0.750,0.531,true,7.9925,8.0000,0.0038
016.webp,LZW,77264,105397,136.41,1.873,1.118,true,7.9966,8.0000,0.0042
017.webp,LZW,31952,43509,136.17,0.610,0.409,true,7.9904,8.0000,0.0035
018.webp,LZW,59956,81868,136.55,1.048,0.760,true,7.9959,8.0000,0.0033
019.webp,LZW,24556,33378,135.93,0.450,0.319,true,7.9858,8.0000,0.0051
020.webp,LZW,8666,11597,133.82,0.173,0.109,true,7.9530,8.0000,0.0107
021.webp,LZW,83074,113721,136.89,1.408,1.047,true,7.9970,8.0000,0.0033
022.webp,LZW,0,3,+Inf,0.043,0.010,true,0.0000,-Inf,0.0000
023.webp,LZW,57460,78400,136.44,1.283,1.875,true,7.9956,8.0000,0.0032
024.webp,LZW,0,3,+Inf,0.076,0.020,true,0.0000,-Inf,0.0000
025.webp,LZW,20070,27261,135.83,0.561,0.382,true,7.9810,8.0000,0.0068
026.webp,LZW,24312,33040,135.90,0.529,0.355,true,7.9889,8.0000,0.0043
027.webp,LZW,35230,48050,136.39,0.767,8.634,true,7.9929,8.0000,0.0038
028.webp,LZW,18432,25032,135.81,0.620,0.589,true,7.9812,8.0000,0.0054
029.webp,LZW,56890,77613,136.43,1.718,0.805,true,7.9951,8.0000,0.0032
030.webp,LZW,57318,78123,136.30,1.593,1.770,true,7.9954,8.0000,0.0038
031.webp,LZW,76022,103764,136.49,1.558,1.173,true,7.9974,8.0000,0.0039
032.webp,LZW,58882,80409,136.56,1.329,0.921,true,7.9958,8.0000,0.0034
033.webp,LZW,30988,42196,136.17,0.743,0.478,true,7.9910,8.0000,0.0045
034.webp,LZW,22894,31163,136.12,0.523,0.335,true,7.9871,8.0000,0.0048
035.webp,LZW,70160,95810,136.56,1.601,0.990,true,7.9967,8.0000,0.0035
036.webp,LZW,84120,114899,136.59,1.795,1.299,true,7.9974,8.0000,0.0036
037.webp,LZW,32564,44365,136.24,0.680,0.464,true,7.9906,8.0000,0.0036
038.webp,LZW,117136,160163,136.73,3.034,1.825,true,7.9982,8.0000,0.0041
039.webp,LZW,44748,60998,136.31,0.728,0.513,true,7.9939,8.0000,0.0034
040.webp,LZW,55312,75617,136.71,0.937,0.633,true,7.9960,8.0000,0.0032
041.webp,LZW,35658,48674,136.50,0.916,0.601,true,7.9915,8.0000,0.0034
042.webp,LZW,75934,103647,136.50,1.548,1.096,true,7.9970,8.0000,0.0035
043.webp,LZW,19590,26653,136.05,0.405,0.355,true,7.9841,8.0000,0.0050
044.webp,LZW,40736,55553,136.37,0.940,0.601,true,7.9937,8.0000,0.0032
045.webp,LZW,8640,11558,133.77,0.211,0.249,true,7.9461,8.0000,0.0110
046.webp,LZW,12202,16500,135.22,0.280,0.203,true,7.9657,8.0000,0.0080
047.webp,LZW,43974,59944,136.32,1.102,0.625,true,7.9937,8.0000,0.0037
048.webp,LZW,71166,97398,136.86,2.223,1.164,true,7.9968,8.0000,0.0034
049.webp,LZW,33836,46128,136.33,0.697,0.486,true,7.9916,8.0000,0.0039
050.webp,LZW,23470,31972,136.22,0.743,0.558,true,7.9866,8.0000,0.0047
051.webp,LZW,31406,42783,136.23,0.664,0.457,true,7.9906,8.0000,0.0062
052.webp,LZW,77612,106000,136.58,1.607,1.621,true,7.9968,8.0000,0.0036
053.webp,LZW,50716,69208,136.46,1.143,0.810,true,7.9945,8.0000,0.0039
054.webp,LZW,43710,59672,136.52,1.130,0.825,true,7.9941,8.0000,0.0040
055.webp,LZW,77922,106507,136.68,1.576,1.195,true,7.9968,8.0000,0.0034
056.webp,LZW,56756,77454,136.47,1.199,0.803,true,7.9953,8.0000,0.0032
057.webp,LZW,28388,38658,136.18,0.664,0.421,true,7.9882,8.0000,0.0043
058.webp,LZW,63728,87103,136.68,1.389,0.956,true,7.9960,8.0000,0.0031
059.webp,LZW,104424,142683,136.64,2.542,2.160,true,7.9979,8.0000,0.0038
060.webp,LZW,18402,24972,135.70,0.386,0.299,true,7.9824,8.0000,0.0057
061.webp,LZW,95860,131054,136.71,1.997,1.351,true,7.9978,8.0000,0.0035
062.webp,LZW,42666,58222,136.46,0.882,0.621,true,7.9936,8.0000,0.0038
063.webp,LZW,102286,139964,136.84,2.693,1.439,true,7.9978,8.0000,0.0042
064.webp,LZW,53410,72876,136.45,1.171,1.012,true,7.9954,8.0000,0.0033
065.webp,LZW,79692,108868,136.61,1.600,1.289,true,7.9968,8.0000,0.0036
066.webp,LZW,25004,34006,136.00,0.577,0.402,true,7.9884,8.0000,0.0047
