File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/pressure.csv_1,Huffman,364,214,58.79,0.136,0.061,true,4.6332,5.4594,0.1215
data/sensor/pressure.csv_2,Huffman,61,17,27.87,0.019,0.010,true,1.9463,3.0000,0.5593
data/sensor/pressure.csv_3,Huffman,263,93,35.36,0.039,0.030,true,2.7327,3.9069,0.7280
data/sensor/pressure.csv_4,Huffman,262,94,35.88,0.038,0.023,true,2.7684,3.9069,0.7269
data/sensor/pressure.csv_5,Huffman,262,93,35.50,0.034,0.022,true,2.7531,3.8074,0.7346
data/sensor/pressure.csv_6,Huffman,262,93,35.50,0.035,0.022,true,2.7371,3.8074,0.7385
data/sensor/pressure.csv_7,Huffman,262,94,35.88,0.036,0.022,true,2.7693,3.9069,0.7231
data/sensor/pressure.csv_8,Huffman,262,92,35.11,0.033,0.022,true,2.7287,3.8074,0.7192
data/sensor/pressure.csv_9,Huffman,257,90,35.02,0.029,0.021,true,2.7062,3.8074,0.7294
data/sensor/pressure.csv_10,Huffman,257,90,35.02,0.029,0.018,true,2.7016,3.8074,0.7333
data/sensor/pressure.csv_11,Huffman,257,90,35.02,0.026,0.016,true,2.7132,3.8074,0.7294
data/sensor/pressure.csv_12,Huffman,257,91,35.41,0.026,0.019,true,2.7415,3.9069,0.7176
data/sensor/pressure.csv_13,Huffman,257,91,35.41,0.032,0.018,true,2.7426,3.9069,0.7176
data/sensor/pressure.csv_14,Huffman,257,91,35.41,0.025,0.016,true,2.7260,3.8074,0.7373
data/sensor/pressure.csv_15,Huffman,257,91,35.41,0.025,0.016,true,2.7276,3.8074,0.7294
data/sensor/pressure.csv_16,Huffman,257,91,35.41,0.027,0.016,true,2.7470,3.8074,0.7216
data/sensor/pressure.csv_17,Huffman,257,92,35.80,0.030,0.017,true,2.7580,3.9069,0.7176
data/sensor/pressure.csv_18,Huffman,257,91,35.41,0.026,0.017,true,2.7349,3.8074,0.7294
data/sensor/pressure.csv_19,Huffman,257,91,35.41,0.026,0.016,true,2.7424,3.8074,0.7294
data/sensor/pressure.csv_20,Huffman,257,91,35.41,0.025,0.016,true,2.7488,3.8074,0.7216
data/sensor/pressure.csv_21,Huffman,257,91,35.41,0.027,0.016,true,2.7395,3.9069,0.7216
data/sensor/pressure.csv_22,Huffman,257,91,35.41,0.028,0.022,true,2.7244,3.8074,0.7216
data/sensor/pressure.csv_23,Huffman,262,93,35.50,0.026,0.017,true,2.7638,3.9069,0.7077
data/sensor/pressure.csv_24,Huffman,262,92,35.11,0.027,0.016,true,2.7347,3.8074,0.7154
data/sensor/pressure.csv_25,Huffman,262,92,35.11,0.025,0.016,true,2.7283,3.8074,0.7154
data/sensor/pressure.csv_26,Huffman,262,93,35.50,0.026,0.016,true,2.7429,3.8074,0.7154
data/sensor/pressure.csv_27,Huffman,262,94,35.88,0.027,0.016,true,2.7724,3.9069,0.7154
data/sensor/pressure.csv_28,Huffman,263,93,35.36,0.027,0.017,true,2.7442,3.8074,0.7203
data/sensor/pressure.csv_29,Huffman,269,97,36.06,0.027,0.017,true,2.7955,3.9069,0.7341
data/sensor/pressure.csv_30,Huffman,245,88,35.92,0.032,0.018,true,2.7869,3.9069,0.7160
data/sensor/pressure.csv_31,Huffman,233,85,36.48,0.027,0.016,true,2.8183,3.9069,0.7056
data/sensor/pressure.csv_32,Huffman,263,93,35.36,0.026,0.016,true,2.7499,3.8074,0.7510
data/sensor/pressure.csv_33,Huffman,233,85,36.48,0.026,0.016,true,2.8100,3.9069,0.7273
data/sensor/pressure.csv_34,Huffman,257,93,36.19,0.027,0.016,true,2.8007,3.9069,0.7333
data/sensor/pressure.csv_35,Huffman,251,90,35.86,0.030,0.016,true,2.7582,3.9069,0.7149
data/sensor/pressure.csv_36,Huffman,262,93,35.50,0.027,0.016,true,2.7582,3.9069,0.7192
data/sensor/pressure.csv_37,Huffman,257,91,35.41,0.026,0.016,true,2.7163,3.9069,0.7137
data/sensor/pressure.csv_38,Huffman,263,93,35.36,0.026,0.017,true,2.7151,3.9069,0.7433
data/sensor/pressure.csv_39,Huffman,263,92,34.98,0.026,0.016,true,2.6761,3.8074,0.7318
data/sensor/pressure.csv_40,Huffman,263,93,35.36,0.037,0.016,true,2.7231,3.9069,0.7471
data/sensor/pressure.csv_41,Huffman,257,90,35.02,0.027,0.017,true,2.7081,3.9069,0.7333
data/sensor/pressure.csv_42,Huffman,257,91,35.41,0.026,0.016,true,2.7183,3.8074,0.7333
data/sensor/pressure.csv_43,Huffman,263,93,35.36,0.028,0.018,true,2.7206,3.9069,0.7433
data/sensor/pressure.csv_44,Huffman,257,91,35.41,0.027,0.016,true,2.7370,3.9069,0.7255
data/sensor/pressure.csv_45,Huffman,263,93,35.36,0.026,0.016,true,2.7416,3.9069,0.7395
data/sensor/pressure.csv_46,Huffman,245,87,35.51,0.027,0.016,true,2.7343,3.9069,0.7243
data/sensor/pressure.csv_47,Huffman,269,95,35.32,0.026,0.016,true,2.7203,3.8074,0.7528
data/sensor/pressure.csv_48,Huffman,263,93,35.36,0.025,0.017,true,2.7186,3.8074,0.7548
data/sensor/pressure.csv_49,Huffman,245,87,35.51,0.027,0.016,true,2.7366,3.9069,0.7243
data/sensor/pressure.csv_50,Huffman,245,86,35.10,0.028,0.017,true,2.6965,3.9069,0.7243
data/sensor/pressure.csv_51,Huffman,269,95,35.32,0.028,0.017,true,2.7191,3.9069,0.7491
data/sensor/pressure.csv_52,Huffman,263,92,34.98,0.025,0.019,true,2.7107,3.8074,0.7356
data/sensor/pressure.csv_53,Huffman,257,90,35.02,0.029,0.020,true,2.7126,3.8074,0.7490
data/sensor/pressure.csv_54,Huffman,257,90,35.02,0.027,0.022,true,2.7176,3.9069,0.7569
data/sensor/pressure.csv_55,Huffman,257,91,35.41,0.026,0.016,true,2.7516,3.9069,0.7529
data/sensor/pressure.csv_56,Huffman,263,94,35.74,0.027,0.016,true,2.7699,3.9069,0.7471
data/sensor/pressure.csv_57,Huffman,263,91,34.60,0.026,0.016,true,2.6717,3.8074,0.7510
data/sensor/pressure.csv_58,Huffman,263,90,34.22,0.026,0.016,true,2.6275,3.8074,0.7625
data/sensor/pressure.csv_59,Huffman,263,90,34.22,0.025,0.015,true,2.6233,3.8074,0.7510
data/sensor/pressure.csv_60,Huffman,257,89,34.63,0.026,0.015,true,2.6689,3.8074,0.7451
data/sensor/pressure.csv_61,Huffman,257,90,35.02,0.028,0.016,true,2.6921,3.9069,0.7490
data/sensor/pressure.csv_62,Huffman,257,90,35.02,0.027,0.016,true,2.6913,3.9069,0.7451
data/sensor/pressure.csv_63,Huffman,257,91,35.41,0.027,0.017,true,2.7368,3.9069,0.7294
data/sensor/pressure.csv_64,Huffman,263,95,36.12,0.028,0.016,true,2.8188,3.9069,0.7548
data/sensor/pressure.csv_65,Huffman,263,95,36.12,0.029,0.017,true,2.8154,3.9069,0.7433
data/sensor/pressure.csv_66,Huffman,263,94,35.74,0.027,0.016,true,2.7828,3.9069,0.7356
data/sensor/pressure.csv_67,Huffman,263,95,36.12,0.029,0.017,true,2.7956,3.9069,0.7739
data/sensor/pressure.csv_68,Huffman,263,95,36.12,0.027,0.018,true,2.8148,3.9069,0.7663
data/sensor/pressure.csv_69,Huffman,251,91,36.25,0.027,0.016,true,2.8261,3.9069,0.7390
data/sensor/pressure.csv_70,Huffman,269,98,36.43,0.026,0.016,true,2.8224,3.9069,0.7640
data/sensor/pressure.csv_71,Huffman,251,92,36.65,0.027,0.016,true,2.8571,3.9069,0.7470
data/sensor/pressure.csv_72,Huffman,263,95,36.12,0.027,0.016,true,2.8053,3.9069,0.7471
data/sensor/pressure.csv_73,Huffman,263,95,36.12,0.028,0.019,true,2.8135,3.9069,0.7395
data/sensor/pressure.csv_74,Huffman,269,96,35.69,0.027,0.017,true,2.7823,3.9069,0.7453
data/sensor/pressure.csv_75,Huffman,251,91,36.25,0.026,0.016,true,2.8154,3.9069,0.7068
data/sensor/pressure.csv_76,Huffman,245,89,36.33,0.035,0.016,true,2.8073,3.9069,0.6996
data/sensor/pressure.csv_77,Huffman,251,91,36.25,0.026,0.016,true,2.8331,3.9069,0.7269
data/sensor/pressure.csv_78,Huffman,257,94,36.58,0.026,0.017,true,2.8376,3.9069,0.7412
data/sensor/pressure.csv_79,Huffman,263,95,36.12,0.028,0.017,true,2.8223,3.9069,0.7625
