File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/pressure.csv_1,LZW,364,303,83.24,0.039,0.018,true,4.6332,5.4594,0.1215
data/sensor/pressure.csv_2,LZW,61,36,59.02,0.008,0.006,true,1.9463,3.0000,0.5593
data/sensor/pressure.csv_3,LZW,263,114,43.35,0.013,0.008,true,2.7327,3.9069,0.7280
data/sensor/pressure.csv_4,LZW,262,119,45.42,0.012,0.011,true,2.7684,3.9069,0.7269
data/sensor/pressure.csv_5,LZW,262,120,45.80,0.011,0.006,true,2.7531,3.8074,0.7346
data/sensor/pressure.csv_6,LZW,262,117,44.66,0.011,0.005,true,2.7371,3.8074,0.7385
data/sensor/pressure.csv_7,LZW,262,120,45.80,0.071,0.019,true,2.7693,3.9069,0.7231
data/sensor/pressure.csv_8,LZW,262,119,45.42,0.058,0.014,true,2.7287,3.8074,0.7192
data/sensor/pressure.csv_9,LZW,257,120,46.69,0.057,0.015,true,2.7062,3.8074,0.7294
data/sensor/pressure.csv_10,LZW,257,117,45.53,0.053,0.021,true,2.7016,3.8074,0.7333
data/sensor/pressure.csv_11,LZW,257,119,46.30,0.056,0.016,true,2.7132,3.8074,0.7294
data/sensor/pressure.csv_12,LZW,257,117,45.53,0.063,0.014,true,2.7415,3.9069,0.7176
data/sensor/pressure.csv_13,LZW,257,117,45.53,0.056,0.022,true,2.7426,3.9069,0.7176
data/sensor/pressure.csv_14,LZW,257,116,45.14,0.056,0.014,true,2.7260,3.8074,0.7373
data/sensor/pressure.csv_15,LZW,257,116,45.14,0.054,0.012,true,2.7276,3.8074,0.7294
data/sensor/pressure.csv_16,LZW,257,120,46.69,0.058,0.016,true,2.7470,3.8074,0.7216
data/sensor/pressure.csv_17,LZW,257,117,45.53,0.055,0.021,true,2.7580,3.9069,0.7176
data/sensor/pressure.csv_18,LZW,257,116,45.14,0.053,0.013,true,2.7349,3.8074,0.7294
data/sensor/pressure.csv_19,LZW,257,116,45.14,0.060,0.019,true,2.7424,3.8074,0.7294
data/sensor/pressure.csv_20,LZW,257,119,46.30,0.060,0.013,true,2.7488,3.8074,0.7216
data/sensor/pressure.csv_21,LZW,257,116,45.14,0.056,0.013,true,2.7395,3.9069,0.7216
data/sensor/pressure.csv_22,LZW,257,116,45.14,0.065,0.020,true,2.7244,3.8074,0.7216
data/sensor/pressure.csv_23,LZW,262,122,46.56,0.063,0.014,true,2.7638,3.9069,0.7077
data/sensor/pressure.csv_24,LZW,262,119,45.42,0.060,0.014,true,2.7347,3.8074,0.7154
data/sensor/pressure.csv_25,LZW,262,121,46.18,0.079,0.021,true,2.7283,3.8074,0.7154
data/sensor/pressure.csv_26,LZW,262,120,45.80,0.166,0.014,true,2.7429,3.8074,0.7154
data/sensor/pressure.csv_27,LZW,262,123,46.95,0.061,0.014,true,2.7724,3.9069,0.7154
data/sensor/pressure.csv_28,LZW,263,119,45.25,0.051,0.016,true,2.7442,3.8074,0.7203
data/sensor/pressure.csv_29,LZW,269,120,44.61,0.049,0.013,true,2.7955,3.9069,0.7341
data/sensor/pressure.csv_30,LZW,245,113,46.12,0.051,0.012,true,2.7869,3.9069,0.7160
data/sensor/pressure.csv_31,LZW,233,113,48.50,0.048,0.020,true,2.8183,3.9069,0.7056
data/sensor/pressure.csv_32,LZW,263,112,42.59,0.078,0.028,true,2.7499,3.8074,0.7510
data/sensor/pressure.csv_33,LZW,233,110,47.21,0.053,0.013,true,2.8100,3.9069,0.7273
data/sensor/pressure.csv_34,LZW,257,114,44.36,0.045,0.013,true,2.8007,3.9069,0.7333
data/sensor/pressure.csv_35,LZW,251,115,45.82,0.014,0.008,true,2.7582,3.9069,0.7149
data/sensor/pressure.csv_36,LZW,262,119,45.42,0.012,0.005,true,2.7582,3.9069,0.7192
data/sensor/pressure.csv_37,LZW,257,117,45.53,0.013,0.005,true,2.7163,3.9069,0.7137
data/sensor/pressure.csv_38,LZW,263,117,44.49,0.013,0.006,true,2.7151,3.9069,0.7433
