File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
city_attributes.csv,LZW,1614,971,60.16,0.051,0.032,true,5.0357,5.8826,0.4597
ethylene_CO.txt,LZW,642945087,262909024,40.89,8354.190,5842.134,true,3.5360,5.2095,1.0000
ethylene_methane.txt,LZW,638311247,256467508,40.18,8326.594,5861.763,true,3.5275,5.1699,1.0000
humidity.csv,LZW,9075077,2318213,25.54,89.684,56.496,true,3.3087,5.8826,0.9999
pressure.csv,LZW,12155911,2133652,17.55,98.152,62.352,true,2.9680,5.8826,0.9999
temperature.csv,LZW,13971171,5063528,36.24,166.415,106.285,true,3.6237,5.8826,0.9999
weather.txt,LZW,150910946,48476889,32.12,1642.186,1133.238,true,3.7502,4.0000,1.0000
weather_description.csv,LZW,21858089,2746223,12.56,153.500,106.802,true,4.3522,5.9069,1.0000
wind_direction.csv,LZW,10171003,2601498,25.58,107.999,71.334,true,3.1810,5.8826,0.9999
wind_speed.csv,LZW,7457531,1220806,16.37,67.375,48.697,true,2.9155,5.8826,0.9999
city_attributes.csv,Huffman,1614,1024,63.44,0.346,0.135,true,5.0357,5.8826,0.4597
ethylene_CO.txt,Huffman,642945087,289597061,45.04,24807.003,23728.499,true,3.5360,5.2095,1.0000
ethylene_methane.txt,Huffman,638311247,287457747,45.03,24454.693,23630.792,true,3.5275,5.1699,1.0000
humidity.csv,Huffman,9075077,3807232,41.95,284.256,279.733,true,3.3087,5.8826,0.9999
pressure.csv,Huffman,12155911,4554104,37.46,326.918,326.583,true,2.9680,5.8826,0.9999
temperature.csv,Huffman,13971171,6385918,45.71,476.985,488.585,true,3.6237,5.8826,0.9999
weather.txt,Huffman,150910946,71797555,47.58,5991.091,5807.617,true,3.7502,4.0000,1.0000
weather_description.csv,Huffman,21858089,11950074,54.67,926.661,920.432,true,4.3522,5.9069,1.0000
wind_direction.csv,Huffman,10171003,4117651,40.48,314.015,338.690,true,3.1810,5.8826,0.9999
wind_speed.csv,Huffman,7457531,2740225,36.74,215.533,220.768,true,2.9155,5.8826,0.9999
