File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/temperature.csv_1,Huffman,364,214,58.79,0.095,0.040,true,4.6332,5.4594,0.1215
data/sensor/temperature.csv_2,Huffman,60,17,28.33,0.014,0.007,true,2.0655,3.3219,0.5517
data/sensor/temperature.csv_3,Huffman,265,118,44.53,0.029,0.024,true,3.4959,3.9069,0.3992
data/sensor/temperature.csv_4,Huffman,481,223,46.36,0.041,0.091,true,3.6149,3.9069,0.3048
data/sensor/temperature.csv_5,Huffman,495,228,46.06,0.041,0.032,true,3.6134,3.9069,0.2799
data/sensor/temperature.csv_6,Huffman,493,228,46.25,0.042,0.032,true,3.6084,3.9069,0.2729
data/sensor/temperature.csv_7,Huffman,498,228,45.78,0.041,0.032,true,3.5951,3.9069,0.2903
data/sensor/temperature.csv_8,Huffman,496,229,46.17,0.040,0.032,true,3.6135,3.9069,0.2753
data/sensor/temperature.csv_9,Huffman,496,229,46.17,0.040,0.037,true,3.6039,3.9069,0.2814
data/sensor/temperature.csv_10,Huffman,493,228,46.25,0.044,0.032,true,3.6052,3.9069,0.2729
data/sensor/temperature.csv_11,Huffman,496,230,46.37,0.041,0.033,true,3.6156,3.9069,0.2652
data/sensor/temperature.csv_12,Huffman,497,229,46.08,0.041,0.036,true,3.6084,3.9069,0.2768
data/sensor/temperature.csv_13,Huffman,497,229,46.08,0.046,0.032,true,3.5989,3.9069,0.2848
data/sensor/temperature.csv_14,Huffman,494,228,46.15,0.039,0.031,true,3.6002,3.9069,0.2907
data/sensor/temperature.csv_15,Huffman,497,230,46.28,0.034,0.026,true,3.6129,3.9069,0.2768
data/sensor/temperature.csv_16,Huffman,490,225,45.92,0.035,0.025,true,3.5993,3.9069,0.2910
data/sensor/temperature.csv_17,Huffman,496,227,45.77,0.033,0.026,true,3.5886,3.9069,0.2955
data/sensor/temperature.csv_18,Huffman,497,228,45.88,0.034,0.027,true,3.5946,3.9069,0.2808
data/sensor/temperature.csv_19,Huffman,495,229,46.26,0.034,0.026,true,3.6087,3.9069,0.2657
data/sensor/temperature.csv_20,Huffman,497,230,46.28,0.034,0.026,true,3.6085,3.9069,0.2909
data/sensor/temperature.csv_21,Huffman,494,229,46.36,0.033,0.026,true,3.6145,3.9069,0.2846
data/sensor/temperature.csv_22,Huffman,496,226,45.56,0.038,0.026,true,3.5744,3.9069,0.2976
data/sensor/temperature.csv_23,Huffman,495,229,46.26,0.036,0.026,true,3.6108,3.9069,0.2921
data/sensor/temperature.csv_24,Huffman,495,226,45.66,0.032,0.026,true,3.5897,3.9069,0.2921
data/sensor/temperature.csv_25,Huffman,494,229,46.36,0.026,0.021,true,3.6061,3.9069,0.2703
data/sensor/temperature.csv_26,Huffman,497,227,45.67,0.028,0.021,true,3.5925,3.9069,0.2869
data/sensor/temperature.csv_27,Huffman,496,228,45.97,0.026,0.125,true,3.6014,3.9069,0.2794
data/sensor/temperature.csv_28,Huffman,288,130,45.14,0.023,0.014,true,3.5409,3.9069,0.4021
data/sensor/temperature.csv_29,Huffman,265,119,44.91,0.019,0.012,true,3.5025,3.9069,0.4030
data/sensor/temperature.csv_30,Huffman,264,119,45.08,0.022,0.020,true,3.5262,3.9069,0.4084
data/sensor/temperature.csv_31,Huffman,269,121,44.98,0.019,0.012,true,3.5221,3.9069,0.4382
data/sensor/temperature.csv_32,Huffman,266,119,44.74,0.018,0.012,true,3.4915,3.9069,0.4242
data/sensor/temperature.csv_33,Huffman,265,117,44.15,0.018,0.013,true,3.4499,3.9069,0.4030
data/sensor/temperature.csv_34,Huffman,264,118,44.70,0.019,0.012,true,3.4963,3.9069,0.3969
data/sensor/temperature.csv_35,Huffman,266,118,44.36,0.017,0.011,true,3.4573,3.9069,0.4318
data/sensor/temperature.csv_36,Huffman,265,116,43.77,0.018,0.012,true,3.4160,3.9069,0.3916
data/sensor/temperature.csv_37,Huffman,266,118,44.36,0.018,0.012,true,3.4584,3.9069,0.4167
data/sensor/temperature.csv_38,Huffman,266,119,44.74,0.018,0.012,true,3.5012,3.9069,0.4091
data/sensor/temperature.csv_39,Huffman,268,119,44.40,0.019,0.012,true,3.4772,3.9069,0.4323
data/sensor/temperature.csv_40,Huffman,265,118,44.53,0.018,0.012,true,3.4805,3.9069,0.4297
data/sensor/temperature.csv_41,Huffman,264,119,45.08,0.018,0.013,true,3.5046,3.9069,0.4427
data/sensor/temperature.csv_42,Huffman,265,120,45.28,0.020,0.012,true,3.5407,3.9069,0.4259
data/sensor/temperature.csv_43,Huffman,266,117,43.98,0.019,0.017,true,3.4427,3.9069,0.4205
data/sensor/temperature.csv_44,Huffman,271,122,45.02,0.019,0.012,true,3.5305,3.9069,0.4089
data/sensor/temperature.csv_45,Huffman,268,121,45.15,0.018,0.012,true,3.5269,3.9069,0.3947
data/sensor/temperature.csv_46,Huffman,269,120,44.61,0.019,0.013,true,3.4790,3.9069,0.4345
data/sensor/temperature.csv_47,Huffman,270,122,45.19,0.019,0.012,true,3.5277,3.9069,0.4104
data/sensor/temperature.csv_48,Huffman,268,120,44.78,0.018,0.013,true,3.5008,3.9069,0.3797
data/sensor/temperature.csv_49,Huffman,272,121,44.49,0.018,0.013,true,3.4765,3.9069,0.3852
data/sensor/temperature.csv_50,Huffman,277,125,45.13,0.018,0.012,true,3.5270,3.9069,0.3964
data/sensor/temperature.csv_51,Huffman,266,119,44.74,0.018,0.011,true,3.4898,3.9069,0.3939
data/sensor/temperature.csv_52,Huffman,266,117,43.98,0.018,0.013,true,3.4426,3.9069,0.3902
data/sensor/temperature.csv_53,Huffman,393,168,42.75,0.022,0.017,true,3.3597,3.9069,0.5831
data/sensor/temperature.csv_54,Huffman,392,169,43.11,0.021,0.020,true,3.3754,3.9069,0.5667
data/sensor/temperature.csv_55,Huffman,267,119,44.57,0.019,0.012,true,3.4869,3.9069,0.4151
data/sensor/temperature.csv_56,Huffman,263,116,44.11,0.018,0.013,true,3.4613,3.9069,0.4176
data/sensor/temperature.csv_57,Huffman,265,117,44.15,0.018,0.012,true,3.4658,3.9069,0.4297
data/sensor/temperature.csv_58,Huffman,263,116,44.11,0.018,0.012,true,3.4452,3.9069,0.4215
data/sensor/temperature.csv_59,Huffman,268,118,44.03,0.018,0.012,true,3.4541,3.9069,0.3985
data/sensor/temperature.csv_60,Huffman,282,124,43.97,0.018,0.012,true,3.4446,3.9069,0.4036
data/sensor/temperature.csv_61,Huffman,259,114,44.02,0.095,0.013,true,3.4378,3.9069,0.4008
data/sensor/temperature.csv_62,Huffman,261,115,44.06,0.019,0.012,true,3.4373,3.9069,0.4479
data/sensor/temperature.csv_63,Huffman,266,119,44.74,0.019,0.012,true,3.5082,3.9069,0.4015
data/sensor/temperature.csv_64,Huffman,264,117,44.32,0.018,0.012,true,3.4539,3.9069,0.4466
data/sensor/temperature.csv_65,Huffman,267,118,44.19,0.018,0.013,true,3.4647,3.9069,0.4113
data/sensor/temperature.csv_66,Huffman,267,120,44.94,0.023,0.012,true,3.5050,3.9069,0.4075
data/sensor/temperature.csv_67,Huffman,266,118,44.36,0.018,0.012,true,3.4849,3.9069,0.4205
data/sensor/temperature.csv_68,Huffman,268,118,44.03,0.018,0.014,true,3.4635,3.9069,0.4323
data/sensor/temperature.csv_69,Huffman,272,121,44.49,0.019,0.012,true,3.4734,3.9069,0.4333
data/sensor/temperature.csv_70,Huffman,268,119,44.40,0.018,0.012,true,3.4570,3.9069,0.4135
data/sensor/temperature.csv_71,Huffman,268,119,44.40,0.018,0.012,true,3.4813,3.9069,0.3985
data/sensor/temperature.csv_72,Huffman,265,117,44.15,0.017,0.012,true,3.4626,3.9069,0.3954
data/sensor/temperature.csv_73,Huffman,271,122,45.02,0.018,0.013,true,3.5090,3.9069,0.4164
data/sensor/temperature.csv_74,Huffman,266,118,44.36,0.019,0.011,true,3.4546,3.9069,0.4129
data/sensor/temperature.csv_75,Huffman,266,119,44.74,0.017,0.012,true,3.4887,3.9069,0.3902
data/sensor/temperature.csv_76,Huffman,264,117,44.32,0.017,0.011,true,3.4409,3.9069,0.3893
data/sensor/temperature.csv_77,Huffman,264,117,44.32,0.018,0.011,true,3.4590,3.9069,0.4237
data/sensor/temperature.csv_78,Huffman,268,120,44.78,0.018,0.012,true,3.4999,3.9069,0.4211
data/sensor/temperature.csv_79,Huffman,268,119,44.40,0.018,0.012,true,3.4683,3.9069,0.4549
data/sensor/temperature.csv_80,Huffman,264,118,44.70,0.017,0.012,true,3.5025,3.9069,0.4275
data/sensor/temperature.csv_81,Huffman,265,118,44.53,0.018,0.012,true,3.5023,3.9069,0.3916
data/sensor/temperature.csv_82,Huffman,266,119,44.74,0.018,0.012,true,3.5062,3.9069,0.4167
data/sensor/temperature.csv_83,Huffman,266,118,44.36,0.017,0.012,true,3.4818,3.9069,0.3977
data/sensor/temperature.csv_84,Huffman,267,120,44.94,0.022,0.012,true,3.5174,3.9069,0.4264
data/sensor/temperature.csv_85,Huffman,267,118,44.19,0.021,0.012,true,3.4621,3.9069,0.4377
data/sensor/temperature.csv_86,Huffman,264,116,43.94,0.018,0.012,true,3.4057,3.9069,0.4733
data/sensor/temperature.csv_87,Huffman,266,118,44.36,0.018,0.012,true,3.4661,3.9069,0.4432
data/sensor/temperature.csv_88,Huffman,265,118,44.53,0.022,0.188,true,3.5027,3.9069,0.4411
data/sensor/temperature.csv_89,Huffman,268,118,44.03,0.026,0.013,true,3.4505,3.9069,0.4323
data/sensor/temperature.csv_90,Huffman,268,118,44.03,0.018,0.012,true,3.4498,3.9069,0.4774
data/sensor/temperature.csv_91,Huffman,266,116,43.61,0.024,0.012,true,3.4147,3.9069,0.4205
data/sensor/temperature.csv_92,Huffman,277,123,44.40,0.019,0.013,true,3.4700,3.9069,0.4109
data/sensor/temperature.csv_93,Huffman,291,130,44.67,0.019,0.014,true,3.5074,3.9069,0.4325
data/sensor/temperature.csv_94,Huffman,268,120,44.78,0.019,0.012,true,3.5209,3.9069,0.3647
data/sensor/temperature.csv_95,Huffman,291,130,44.67,0.023,0.013,true,3.5011,3.9069,0.4118
data/sensor/temperature.csv_96,Huffman,268,121,45.15,0.020,0.012,true,3.5211,3.9069,0.4060
data/sensor/temperature.csv_97,Huffman,269,120,44.61,0.019,0.012,true,3.4965,3.9069,0.4120
data/sensor/temperature.csv_98,Huffman,268,120,44.78,0.019,0.013,true,3.4832,3.9069,0.3947
data/sensor/temperature.csv_99,Huffman,262,116,44.27,0.020,0.012,true,3.4509,3.9069,0.4269
data/sensor/temperature.csv_100,Huffman,267,118,44.19,0.018,0.012,true,3.4487,3.9069,0.4113
data/sensor/temperature.csv_101,Huffman,264,118,44.70,0.019,0.012,true,3.4926,3.9069,0.4122
data/sensor/temperature.csv_102,Huffman,265,118,44.53,0.020,0.012,true,3.4891,3.9069,0.3764
data/sensor/temperature.csv_103,Huffman,266,118,44.36,0.018,0.017,true,3.4606,3.9069,0.4356
data/sensor/temperature.csv_104,Huffman,264,118,44.70,0.018,0.012,true,3.5050,3.9069,0.3969
data/sensor/temperature.csv_105,Huffman,263,119,45.25,0.018,0.012,true,3.5284,3.9069,0.4291
data/sensor/temperature.csv_106,Huffman,262,117,44.66,0.018,0.012,true,3.4854,3.9069,0.4269
data/sensor/temperature.csv_107,Huffman,264,118,44.70,0.018,0.012,true,3.5175,3.9069,0.4046
data/sensor/temperature.csv_108,Huffman,264,116,43.94,0.019,0.014,true,3.4375,3.9069,0.4389
data/sensor/temperature.csv_109,Huffman,265,119,44.91,0.022,0.016,true,3.5180,3.9069,0.4183
data/sensor/temperature.csv_110,Huffman,266,120,45.11,0.019,0.012,true,3.5324,3.9069,0.3977
data/sensor/temperature.csv_111,Huffman,265,117,44.15,0.019,0.013,true,3.4385,3.9069,0.4106
data/sensor/temperature.csv_112,Huffman,262,117,44.66,0.018,0.012,true,3.4810,3.9069,0.4077
data/sensor/temperature.csv_113,Huffman,265,118,44.53,0.019,0.012,true,3.4770,3.9069,0.3802
data/sensor/temperature.csv_114,Huffman,261,115,44.06,0.018,0.012,true,3.4480,3.9069,0.4324
