File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/temperature.csv_1,LZW,364,303,83.24,0.036,0.018,true,4.6332,5.4594,0.1215
data/sensor/temperature.csv_2,LZW,60,36,60.00,0.014,0.005,true,2.0655,3.3219,0.5517
data/sensor/temperature.csv_3,LZW,265,177,66.79,0.015,0.010,true,3.4959,3.9069,0.3992
data/sensor/temperature.csv_4,LZW,481,320,66.53,0.022,0.020,true,3.6149,3.9069,0.3048
data/sensor/temperature.csv_5,LZW,495,332,67.07,0.021,0.013,true,3.6134,3.9069,0.2799
data/sensor/temperature.csv_6,LZW,493,332,67.34,0.021,0.013,true,3.6084,3.9069,0.2729
data/sensor/temperature.csv_7,LZW,498,332,66.67,0.070,0.022,true,3.5951,3.9069,0.2903
data/sensor/temperature.csv_8,LZW,496,330,66.53,0.050,0.017,true,3.6135,3.9069,0.2753
data/sensor/temperature.csv_9,LZW,496,331,66.73,0.051,0.015,true,3.6039,3.9069,0.2814
data/sensor/temperature.csv_10,LZW,493,327,66.33,0.052,0.022,true,3.6052,3.9069,0.2729
data/sensor/temperature.csv_11,LZW,496,331,66.73,0.046,0.014,true,3.6156,3.9069,0.2652
data/sensor/temperature.csv_12,LZW,497,338,68.01,0.047,0.015,true,3.6084,3.9069,0.2768
data/sensor/temperature.csv_13,LZW,497,335,67.40,0.047,0.017,true,3.5989,3.9069,0.2848
data/sensor/temperature.csv_14,LZW,494,331,67.00,0.048,0.015,true,3.6002,3.9069,0.2907
data/sensor/temperature.csv_15,LZW,497,332,66.80,0.053,0.018,true,3.6129,3.9069,0.2768
data/sensor/temperature.csv_16,LZW,490,326,66.53,0.049,0.017,true,3.5993,3.9069,0.2910
data/sensor/temperature.csv_17,LZW,496,327,65.93,0.048,0.023,true,3.5886,3.9069,0.2955
data/sensor/temperature.csv_18,LZW,497,337,67.81,0.048,0.016,true,3.5946,3.9069,0.2808
data/sensor/temperature.csv_19,LZW,495,327,66.06,0.050,0.017,true,3.6087,3.9069,0.2657
data/sensor/temperature.csv_20,LZW,497,333,67.00,0.047,0.017,true,3.6085,3.9069,0.2909
data/sensor/temperature.csv_21,LZW,494,332,67.21,0.049,0.015,true,3.6145,3.9069,0.2846
data/sensor/temperature.csv_22,LZW,496,330,66.53,0.045,0.383,true,3.5744,3.9069,0.2976
data/sensor/temperature.csv_23,LZW,495,325,65.66,0.015,0.009,true,3.6108,3.9069,0.2921
data/sensor/temperature.csv_24,LZW,495,326,65.86,0.015,0.009,true,3.5897,3.9069,0.2921
data/sensor/temperature.csv_25,LZW,494,326,65.99,0.011,0.012,true,3.6061,3.9069,0.2703
data/sensor/temperature.csv_26,LZW,497,331,66.60,0.013,0.009,true,3.5925,3.9069,0.2869
data/sensor/temperature.csv_27,LZW,496,330,66.53,0.106,0.010,true,3.6014,3.9069,0.2794
data/sensor/temperature.csv_28,LZW,288,192,66.67,0.016,0.007,true,3.5409,3.9069,0.4021
data/sensor/temperature.csv_29,LZW,265,177,66.79,0.017,0.006,true,3.5025,3.9069,0.4030
data/sensor/temperature.csv_30,LZW,264,177,67.05,0.013,0.009,true,3.5262,3.9069,0.4084
data/sensor/temperature.csv_31,LZW,269,183,68.03,0.011,0.005,true,3.5221,3.9069,0.4382
data/sensor/temperature.csv_32,LZW,266,176,66.17,0.011,0.005,true,3.4915,3.9069,0.4242
data/sensor/temperature.csv_33,LZW,265,175,66.04,0.011,0.005,true,3.4499,3.9069,0.4030
data/sensor/temperature.csv_34,LZW,264,173,65.53,0.010,0.005,true,3.4963,3.9069,0.3969
data/sensor/temperature.csv_35,LZW,266,177,66.54,0.017,0.005,true,3.4573,3.9069,0.4318
data/sensor/temperature.csv_36,LZW,265,176,66.42,0.019,0.007,true,3.4160,3.9069,0.3916
data/sensor/temperature.csv_37,LZW,266,178,66.92,0.014,0.005,true,3.4584,3.9069,0.4167
data/sensor/temperature.csv_38,LZW,266,178,66.92,0.015,0.005,true,3.5012,3.9069,0.4091
data/sensor/temperature.csv_39,LZW,268,178,66.42,0.014,0.010,true,3.4772,3.9069,0.4323
data/sensor/temperature.csv_40,LZW,265,177,66.79,0.015,0.008,true,3.4805,3.9069,0.4297
data/sensor/temperature.csv_41,LZW,264,169,64.02,0.012,0.008,true,3.5046,3.9069,0.4427
data/sensor/temperature.csv_42,LZW,265,178,67.17,0.015,0.006,true,3.5407,3.9069,0.4259
data/sensor/temperature.csv_43,LZW,266,174,65.41,0.021,0.017,true,3.4427,3.9069,0.4205
data/sensor/temperature.csv_44,LZW,271,178,65.68,0.016,0.006,true,3.5305,3.9069,0.4089
data/sensor/temperature.csv_45,LZW,268,179,66.79,0.020,0.006,true,3.5269,3.9069,0.3947
data/sensor/temperature.csv_46,LZW,269,178,66.17,0.018,0.005,true,3.4790,3.9069,0.4345
data/sensor/temperature.csv_47,LZW,270,178,65.93,0.013,0.006,true,3.5277,3.9069,0.4104
data/sensor/temperature.csv_48,LZW,268,179,66.79,0.014,0.007,true,3.5008,3.9069,0.3797
data/sensor/temperature.csv_49,LZW,272,185,68.01,0.018,0.006,true,3.4765,3.9069,0.3852
data/sensor/temperature.csv_50,LZW,277,183,66.06,0.016,0.006,true,3.5270,3.9069,0.3964
data/sensor/temperature.csv_51,LZW,266,183,68.80,0.015,0.006,true,3.4898,3.9069,0.3939
data/sensor/temperature.csv_52,LZW,266,177,66.54,0.013,0.005,true,3.4426,3.9069,0.3902
data/sensor/temperature.csv_53,LZW,393,215,54.71,0.015,0.007,true,3.3597,3.9069,0.5831
data/sensor/temperature.csv_54,LZW,392,213,54.34,0.013,0.007,true,3.3754,3.9069,0.5667
data/sensor/temperature.csv_55,LZW,267,174,65.17,0.011,0.005,true,3.4869,3.9069,0.4151
data/sensor/temperature.csv_56,LZW,263,174,66.16,0.013,0.005,true,3.4613,3.9069,0.4176
data/sensor/temperature.csv_57,LZW,265,175,66.04,0.011,0.004,true,3.4658,3.9069,0.4297
data/sensor/temperature.csv_58,LZW,263,175,66.54,0.210,0.007,true,3.4452,3.9069,0.4215
data/sensor/temperature.csv_59,LZW,268,177,66.04,0.012,0.005,true,3.4541,3.9069,0.3985
data/sensor/temperature.csv_60,LZW,282,179,63.48,0.014,0.005,true,3.4446,3.9069,0.4036
