File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/weather_description.csv_1,Huffman,364,214,58.79,0.130,0.060,true,4.6332,5.4594,0.1215
data/sensor/weather_description.csv_2,Huffman,59,17,28.81,0.021,0.010,true,2.1111,3.4594,0.5614
data/sensor/weather_description.csv_3,Huffman,453,243,53.64,0.083,0.062,true,4.2396,4.9069,0.7384
data/sensor/weather_description.csv_4,Huffman,522,272,52.11,0.071,0.053,true,4.1247,4.7004,0.8596
data/sensor/weather_description.csv_5,Huffman,528,276,52.27,0.061,0.046,true,4.1324,4.7004,0.8612
data/sensor/weather_description.csv_6,Huffman,528,276,52.27,0.073,0.043,true,4.1324,4.7004,0.8612
data/sensor/weather_description.csv_7,Huffman,526,276,52.47,0.063,0.048,true,4.1465,4.7004,0.8607
data/sensor/weather_description.csv_8,Huffman,524,276,52.67,0.062,0.043,true,4.1576,4.7004,0.8602
data/sensor/weather_description.csv_9,Huffman,524,276,52.67,0.056,0.041,true,4.1576,4.7004,0.8602
data/sensor/weather_description.csv_10,Huffman,524,276,52.67,0.059,0.043,true,4.1503,4.6439,0.8621
data/sensor/weather_description.csv_11,Huffman,524,276,52.67,0.063,0.042,true,4.1524,4.6439,0.8602
data/sensor/weather_description.csv_12,Huffman,530,278,52.45,0.069,0.043,true,4.1404,4.6439,0.8617
data/sensor/weather_description.csv_13,Huffman,536,281,52.43,0.065,0.045,true,4.1320,4.7004,0.8633
data/sensor/weather_description.csv_14,Huffman,536,280,52.24,0.057,0.042,true,4.1206,4.6439,0.8670
data/sensor/weather_description.csv_15,Huffman,536,280,52.24,0.059,0.042,true,4.1239,4.6439,0.8633
data/sensor/weather_description.csv_16,Huffman,536,280,52.24,0.060,0.041,true,4.1230,4.6439,0.8633
data/sensor/weather_description.csv_17,Huffman,534,280,52.43,0.058,0.041,true,4.1408,4.7004,0.8628
data/sensor/weather_description.csv_18,Huffman,532,280,52.63,0.063,0.047,true,4.1498,4.7004,0.8623
data/sensor/weather_description.csv_19,Huffman,532,280,52.63,0.063,0.043,true,4.1498,4.7004,0.8623
data/sensor/weather_description.csv_20,Huffman,529,279,52.74,0.060,0.044,true,4.1595,4.7004,0.8615
data/sensor/weather_description.csv_21,Huffman,526,278,52.85,0.060,0.043,true,4.1612,4.7004,0.8607
