File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/weather_description.csv_1,LZW,364,303,83.24,0.033,0.016,true,4.6332,5.4594,0.1215
data/sensor/weather_description.csv_2,LZW,59,35,59.32,0.012,0.003,true,2.1111,3.4594,0.5614
data/sensor/weather_description.csv_3,LZW,453,229,50.55,0.019,0.011,true,4.2396,4.9069,0.7384
data/sensor/weather_description.csv_4,LZW,522,221,42.34,0.021,0.019,true,4.1247,4.7004,0.8596
data/sensor/weather_description.csv_5,LZW,528,223,42.23,0.022,0.009,true,4.1324,4.7004,0.8612
data/sensor/weather_description.csv_6,LZW,528,223,42.23,0.020,0.009,true,4.1324,4.7004,0.8612
data/sensor/weather_description.csv_7,LZW,526,219,41.63,0.066,0.011,true,4.1465,4.7004,0.8607
data/sensor/weather_description.csv_8,LZW,524,220,41.98,0.048,0.009,true,4.1576,4.7004,0.8602
data/sensor/weather_description.csv_9,LZW,524,220,41.98,0.045,0.009,true,4.1576,4.7004,0.8602
data/sensor/weather_description.csv_10,LZW,524,219,41.79,0.058,0.015,true,4.1503,4.6439,0.8621
data/sensor/weather_description.csv_11,LZW,524,220,41.98,0.069,0.013,true,4.1524,4.6439,0.8602
data/sensor/weather_description.csv_12,LZW,530,224,42.26,0.050,0.013,true,4.1404,4.6439,0.8617
data/sensor/weather_description.csv_13,LZW,536,228,42.54,0.055,0.022,true,4.1320,4.7004,0.8633
data/sensor/weather_description.csv_14,LZW,536,228,42.54,0.045,0.015,true,4.1206,4.6439,0.8670
data/sensor/weather_description.csv_15,LZW,536,228,42.54,0.063,0.016,true,4.1239,4.6439,0.8633
data/sensor/weather_description.csv_16,LZW,536,228,42.54,0.057,0.019,true,4.1230,4.6439,0.8633
data/sensor/weather_description.csv_17,LZW,534,229,42.88,0.054,0.028,true,4.1408,4.7004,0.8628
data/sensor/weather_description.csv_18,LZW,532,228,42.86,0.059,0.014,true,4.1498,4.7004,0.8623
data/sensor/weather_description.csv_19,LZW,532,228,42.86,0.050,0.018,true,4.1498,4.7004,0.8623
data/sensor/weather_description.csv_20,LZW,529,229,43.29,0.050,0.014,true,4.1595,4.7004,0.8615
data/sensor/weather_description.csv_21,LZW,526,225,42.78,0.051,0.014,true,4.1612,4.7004,0.8607
data/sensor/weather_description.csv_22,LZW,526,225,42.78,0.050,0.023,true,4.1612,4.7004,0.8607
data/sensor/weather_description.csv_23,LZW,523,227,43.40,0.069,0.016,true,4.1701,4.7004,0.8599
data/sensor/weather_description.csv_24,LZW,523,225,43.02,0.053,0.016,true,4.1649,4.6439,0.8618
data/sensor/weather_description.csv_25,LZW,523,227,43.40,0.046,0.019,true,4.1670,4.6439,0.8599
data/sensor/weather_description.csv_26,LZW,523,225,43.02,0.156,0.016,true,4.1670,4.6439,0.8599
data/sensor/weather_description.csv_27,LZW,523,227,43.40,0.049,0.014,true,4.1732,4.7004,0.8599
data/sensor/weather_description.csv_28,LZW,477,240,50.31,0.051,0.018,true,4.2469,4.8580,0.7474
data/sensor/weather_description.csv_29,LZW,487,247,50.72,0.054,0.015,true,4.2594,5.0000,0.7340
data/sensor/weather_description.csv_30,LZW,471,206,43.74,0.053,0.013,true,4.0514,4.8074,0.8038
data/sensor/weather_description.csv_31,LZW,459,192,41.83,0.064,0.219,true,3.9710,4.8074,0.8031
data/sensor/weather_description.csv_32,LZW,504,248,49.21,0.063,0.018,true,4.2323,4.8580,0.7869
data/sensor/weather_description.csv_33,LZW,496,220,44.35,0.486,0.016,true,4.0372,4.8580,0.7672
data/sensor/weather_description.csv_34,LZW,484,216,44.63,0.045,0.020,true,4.0320,4.7004,0.7739
data/sensor/weather_description.csv_35,LZW,505,224,44.36,0.019,0.013,true,4.0975,4.7549,0.7853
data/sensor/weather_description.csv_36,LZW,494,249,50.40,0.014,0.010,true,4.2680,4.9069,0.7358
data/sensor/weather_description.csv_37,LZW,483,263,54.45,0.016,0.007,true,4.3431,4.9069,0.6861
data/sensor/weather_description.csv_38,LZW,502,261,51.99,0.013,0.006,true,4.3155,4.9542,0.7400
data/sensor/weather_description.csv_39,LZW,493,236,47.87,0.015,0.006,true,4.2345,4.9069,0.7637
data/sensor/weather_description.csv_40,LZW,512,245,47.85,0.014,0.008,true,4.2686,4.9069,0.7706
data/sensor/weather_description.csv_41,LZW,488,225,46.11,0.013,0.005,true,4.1888,4.8580,0.8086
data/sensor/weather_description.csv_42,LZW,500,240,48.00,0.012,0.006,true,4.2234,4.9542,0.7610
data/sensor/weather_description.csv_43,LZW,498,232,46.59,0.011,0.006,true,4.1928,4.9069,0.7903
data/sensor/weather_description.csv_44,LZW,494,248,50.20,0.016,0.006,true,4.2779,4.9542,0.7439
data/sensor/weather_description.csv_45,LZW,465,227,48.82,0.014,0.005,true,4.2409,4.9069,0.7883
data/sensor/weather_description.csv_46,LZW,489,202,41.31,0.014,0.008,true,4.0537,4.8074,0.8419
data/sensor/weather_description.csv_47,LZW,476,230,48.32,0.022,0.012,true,4.2050,4.9542,0.7595
data/sensor/weather_description.csv_48,LZW,489,234,47.85,0.015,0.009,true,4.1778,4.8074,0.7782
data/sensor/weather_description.csv_49,LZW,485,236,48.66,0.015,0.009,true,4.1755,4.9069,0.7578
data/sensor/weather_description.csv_50,LZW,512,251,49.02,0.011,0.008,true,4.2199,4.9069,0.7765
data/sensor/weather_description.csv_51,LZW,454,225,49.56,0.013,0.009,true,4.2609,4.9069,0.7677
data/sensor/weather_description.csv_52,LZW,470,222,47.23,0.018,0.010,true,4.1972,4.9069,0.8077
data/sensor/weather_description.csv_53,LZW,516,221,42.83,0.015,0.008,true,4.1563,4.7549,0.8599
data/sensor/weather_description.csv_54,LZW,509,219,43.03,0.014,0.008,true,4.1739,4.7549,0.8580
data/sensor/weather_description.csv_55,LZW,467,220,47.11,0.016,0.007,true,4.1945,4.9069,0.8022
data/sensor/weather_description.csv_56,LZW,499,248,49.70,0.018,0.006,true,4.2206,4.9542,0.7505
data/sensor/weather_description.csv_57,LZW,456,228,50.00,0.022,0.006,true,4.2705,4.9542,0.7599
data/sensor/weather_description.csv_58,LZW,481,246,51.14,0.018,0.007,true,4.2758,5.0000,0.7411
data/sensor/weather_description.csv_59,LZW,490,258,52.65,0.016,0.006,true,4.2873,5.0000,0.7090
data/sensor/weather_description.csv_60,LZW,511,219,42.86,0.021,0.008,true,4.1804,4.7004,0.8566
data/sensor/weather_description.csv_61,LZW,482,243,50.41,0.020,0.009,true,4.3142,4.9069,0.7625
data/sensor/weather_description.csv_62,LZW,484,242,50.00,0.014,0.006,true,4.2781,4.9069,0.7531
data/sensor/weather_description.csv_63,LZW,414,198,47.83,0.014,0.006,true,4.2554,4.8580,0.7888
data/sensor/weather_description.csv_64,LZW,471,230,48.83,0.091,0.067,true,4.2348,4.8580,0.7889
data/sensor/weather_description.csv_65,LZW,476,242,50.84,0.013,0.006,true,4.2680,4.9069,0.7553
data/sensor/weather_description.csv_66,LZW,434,211,48.62,0.014,0.005,true,4.1965,4.8074,0.7917
data/sensor/weather_description.csv_67,LZW,445,221,49.66,0.011,0.008,true,4.2189,4.9542,0.7562
data/sensor/weather_description.csv_68,LZW,419,207,49.40,0.011,0.005,true,4.2332,4.9542,0.7434
data/sensor/weather_description.csv_69,LZW,437,218,49.89,0.012,0.005,true,4.2296,4.9542,0.7287
data/sensor/weather_description.csv_70,LZW,407,200,49.14,0.011,0.006,true,4.2323,4.9069,0.7802
data/sensor/weather_description.csv_71,LZW,430,188,43.72,0.011,0.005,true,4.1123,4.7549,0.8435
data/sensor/weather_description.csv_72,LZW,400,207,51.75,0.011,0.007,true,4.2806,4.9069,0.7337
data/sensor/weather_description.csv_73,LZW,411,202,49.15,0.012,0.006,true,4.1665,4.8074,0.7653
data/sensor/weather_description.csv_74,LZW,403,204,50.62,0.012,0.005,true,4.2045,4.9069,0.7232
data/sensor/weather_description.csv_75,LZW,417,202,48.44,0.012,0.005,true,4.1986,5.0444,0.7373
data/sensor/weather_description.csv_76,LZW,393,198,50.38,0.011,0.005,true,4.2294,4.9542,0.7468
data/sensor/weather_description.csv_77,LZW,400,196,49.00,0.012,0.005,true,4.2198,4.9542,0.7638
