File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/wind_direction.csv_1,Huffman,364,214,58.79,0.090,0.040,true,4.6332,5.4594,0.1215
data/sensor/wind_direction.csv_2,Huffman,60,17,28.33,0.014,0.007,true,2.0502,3.3219,0.5690
data/sensor/wind_direction.csv_3,Huffman,205,74,36.10,0.023,0.016,true,2.7769,3.9069,0.6207
data/sensor/wind_direction.csv_4,Huffman,204,81,39.71,0.024,0.015,true,3.0553,3.9069,0.5495
data/sensor/wind_direction.csv_5,Huffman,210,83,39.52,0.028,0.014,true,3.0506,3.9069,0.5577
data/sensor/wind_direction.csv_6,Huffman,210,84,40.00,0.026,0.013,true,3.0848,3.9069,0.5337
data/sensor/wind_direction.csv_7,Huffman,210,86,40.95,0.025,0.014,true,3.1681,3.9069,0.5144
data/sensor/wind_direction.csv_8,Huffman,210,86,40.95,0.023,0.015,true,3.1866,3.9069,0.5096
data/sensor/wind_direction.csv_9,Huffman,210,85,40.48,0.019,0.011,true,3.1418,3.9069,0.5337
data/sensor/wind_direction.csv_10,Huffman,210,86,40.95,0.021,0.013,true,3.1561,3.9069,0.5048
data/sensor/wind_direction.csv_11,Huffman,213,85,39.91,0.020,0.012,true,3.0839,3.9069,0.5071
data/sensor/wind_direction.csv_12,Huffman,214,86,40.19,0.019,0.015,true,3.1115,3.9069,0.5330
data/sensor/wind_direction.csv_13,Huffman,214,87,40.65,0.021,0.012,true,3.1497,3.9069,0.5189
data/sensor/wind_direction.csv_14,Huffman,215,89,41.40,0.019,0.012,true,3.2049,3.9069,0.5117
data/sensor/wind_direction.csv_15,Huffman,215,89,41.40,0.020,0.012,true,3.2159,3.9069,0.5211
data/sensor/wind_direction.csv_16,Huffman,215,88,40.93,0.083,0.012,true,3.1742,3.9069,0.5117
data/sensor/wind_direction.csv_17,Huffman,215,89,41.40,0.024,0.012,true,3.1936,3.9069,0.5117
data/sensor/wind_direction.csv_18,Huffman,215,88,40.93,0.019,0.012,true,3.1742,3.9069,0.4930
data/sensor/wind_direction.csv_19,Huffman,215,85,39.53,0.029,0.012,true,3.0696,3.9069,0.5164
data/sensor/wind_direction.csv_20,Huffman,215,87,40.47,0.020,0.013,true,3.1420,3.9069,0.5023
data/sensor/wind_direction.csv_21,Huffman,215,88,40.93,0.020,0.012,true,3.1564,3.9069,0.5117
data/sensor/wind_direction.csv_22,Huffman,214,88,41.12,0.021,0.012,true,3.1951,3.9069,0.5189
data/sensor/wind_direction.csv_23,Huffman,214,89,41.59,0.024,0.012,true,3.2058,3.9069,0.5283
data/sensor/wind_direction.csv_24,Huffman,214,88,41.12,0.019,0.012,true,3.1961,3.9069,0.5047
data/sensor/wind_direction.csv_25,Huffman,214,87,40.65,0.019,0.012,true,3.1621,3.9069,0.5472
data/sensor/wind_direction.csv_26,Huffman,214,86,40.19,0.021,0.012,true,3.1126,3.9069,0.5283
data/sensor/wind_direction.csv_27,Huffman,212,85,40.09,0.019,0.011,true,3.0920,3.9069,0.5333
data/sensor/wind_direction.csv_28,Huffman,213,80,37.56,0.018,0.010,true,2.8756,3.9069,0.6114
data/sensor/wind_direction.csv_29,Huffman,214,80,37.38,0.014,0.008,true,2.8547,3.9069,0.6509
data/sensor/wind_direction.csv_30,Huffman,219,86,39.27,0.019,0.011,true,3.0273,3.9069,0.5253
data/sensor/wind_direction.csv_31,Huffman,212,85,40.09,0.015,0.009,true,3.0841,3.9069,0.5429
data/sensor/wind_direction.csv_32,Huffman,211,78,36.97,0.015,0.009,true,2.8169,3.9069,0.6459
data/sensor/wind_direction.csv_33,Huffman,218,87,39.91,0.015,0.009,true,3.0674,3.9069,0.5602
data/sensor/wind_direction.csv_34,Huffman,219,87,39.73,0.015,0.009,true,3.0559,3.9069,0.5484
data/sensor/wind_direction.csv_35,Huffman,219,88,40.18,0.015,0.009,true,3.0948,3.9069,0.5622
data/sensor/wind_direction.csv_36,Huffman,215,83,38.60,0.015,0.009,true,2.9496,3.9069,0.6103
data/sensor/wind_direction.csv_37,Huffman,218,82,37.61,0.014,0.009,true,2.8911,3.8074,0.6250
data/sensor/wind_direction.csv_38,Huffman,221,83,37.56,0.014,0.009,true,2.8754,3.8074,0.6119
data/sensor/wind_direction.csv_39,Huffman,221,84,38.01,0.015,0.009,true,2.9273,3.9069,0.6301
data/sensor/wind_direction.csv_40,Huffman,220,85,38.64,0.014,0.009,true,2.9607,3.9069,0.6239
data/sensor/wind_direction.csv_41,Huffman,217,82,37.79,0.015,0.010,true,2.8826,3.9069,0.6837
data/sensor/wind_direction.csv_42,Huffman,215,82,38.14,0.020,0.008,true,2.9370,3.9069,0.5869
data/sensor/wind_direction.csv_43,Huffman,219,83,37.90,0.018,0.009,true,2.8948,3.9069,0.6452
data/sensor/wind_direction.csv_44,Huffman,213,79,37.09,0.015,0.008,true,2.8492,3.9069,0.6445
data/sensor/wind_direction.csv_45,Huffman,211,77,36.49,0.014,0.008,true,2.8129,3.9069,0.5933
data/sensor/wind_direction.csv_46,Huffman,209,78,37.32,0.015,0.009,true,2.8547,3.9069,0.6087
data/sensor/wind_direction.csv_47,Huffman,212,79,37.26,0.015,0.008,true,2.8662,3.9069,0.6143
data/sensor/wind_direction.csv_48,Huffman,216,81,37.50,0.015,0.009,true,2.8583,3.9069,0.6542
data/sensor/wind_direction.csv_49,Huffman,212,83,39.15,0.016,0.009,true,3.0017,3.9069,0.5857
data/sensor/wind_direction.csv_50,Huffman,216,83,38.43,0.015,0.009,true,2.9409,3.9069,0.5841
data/sensor/wind_direction.csv_51,Huffman,213,79,37.09,0.015,0.009,true,2.8531,3.9069,0.6351
data/sensor/wind_direction.csv_52,Huffman,217,80,36.87,0.014,0.008,true,2.8346,3.9069,0.6279
data/sensor/wind_direction.csv_53,Huffman,219,87,39.73,0.015,0.010,true,3.0523,3.9069,0.5530
data/sensor/wind_direction.csv_54,Huffman,219,87,39.73,0.015,0.012,true,3.0871,3.9069,0.5530
data/sensor/wind_direction.csv_55,Huffman,212,81,38.21,0.017,0.009,true,2.9178,3.9069,0.5857
data/sensor/wind_direction.csv_56,Huffman,219,82,37.44,0.015,0.009,true,2.8666,3.9069,0.6175
data/sensor/wind_direction.csv_57,Huffman,213,79,37.09,0.014,0.008,true,2.8320,3.8074,0.6445
data/sensor/wind_direction.csv_58,Huffman,211,76,36.02,0.015,0.008,true,2.7627,3.9069,0.6651
data/sensor/wind_direction.csv_59,Huffman,219,83,37.90,0.015,0.009,true,2.8879,3.9069,0.6037
data/sensor/wind_direction.csv_60,Huffman,223,88,39.46,0.016,0.010,true,3.0709,3.9069,0.5837
data/sensor/wind_direction.csv_61,Huffman,213,76,35.68,0.020,0.009,true,2.7527,3.9069,0.6398
data/sensor/wind_direction.csv_62,Huffman,211,75,35.55,0.015,0.008,true,2.7439,3.9069,0.6459
data/sensor/wind_direction.csv_63,Huffman,211,75,35.55,0.014,0.008,true,2.7410,3.9069,0.6555
data/sensor/wind_direction.csv_64,Huffman,213,76,35.68,0.016,0.008,true,2.7468,3.9069,0.6445
data/sensor/wind_direction.csv_65,Huffman,205,72,35.12,0.014,0.008,true,2.6766,3.8074,0.6700
data/sensor/wind_direction.csv_66,Huffman,204,70,34.31,0.016,0.008,true,2.6494,3.9069,0.6782
data/sensor/wind_direction.csv_67,Huffman,198,67,33.84,0.013,0.007,true,2.5913,3.8074,0.6633
data/sensor/wind_direction.csv_68,Huffman,206,74,35.92,0.013,0.009,true,2.7292,3.8074,0.6814
data/sensor/wind_direction.csv_69,Huffman,203,75,36.95,0.015,0.008,true,2.8370,3.9069,0.5771
data/sensor/wind_direction.csv_70,Huffman,196,68,34.69,0.013,0.007,true,2.6572,3.8074,0.6598
data/sensor/wind_direction.csv_71,Huffman,211,80,37.91,0.015,0.009,true,2.9000,3.9069,0.6029
data/sensor/wind_direction.csv_72,Huffman,201,72,35.82,0.014,0.008,true,2.7310,3.9069,0.6332
data/sensor/wind_direction.csv_73,Huffman,209,77,36.84,0.015,0.008,true,2.8319,3.9069,0.6377
data/sensor/wind_direction.csv_74,Huffman,203,69,33.99,0.012,0.010,true,2.6142,3.5850,0.6816
data/sensor/wind_direction.csv_75,Huffman,211,78,36.97,0.014,0.008,true,2.8274,3.9069,0.5981
data/sensor/wind_direction.csv_76,Huffman,216,83,38.43,0.015,0.009,true,2.9641,3.9069,0.5841
data/sensor/wind_direction.csv_77,Huffman,215,83,38.60,0.015,0.009,true,2.9525,3.9069,0.5728
data/sensor/wind_direction.csv_78,Huffman,211,79,37.44,0.014,0.009,true,2.8606,3.9069,0.6124
data/sensor/wind_direction.csv_79,Huffman,218,82,37.61,0.014,0.009,true,2.8786,3.9069,0.6204
data/sensor/wind_direction.csv_80,Huffman,218,80,36.70,0.015,0.009,true,2.8067,3.9069,0.6296
data/sensor/wind_direction.csv_81,Huffman,220,82,37.27,0.019,0.009,true,2.8639,3.9069,0.6284
data/sensor/wind_direction.csv_82,Huffman,226,85,37.61,0.015,0.009,true,2.8788,3.9069,0.6473
data/sensor/wind_direction.csv_83,Huffman,227,87,38.33,0.016,0.010,true,2.9377,3.9069,0.6578
data/sensor/wind_direction.csv_84,Huffman,225,84,37.33,0.021,0.013,true,2.8691,3.9069,0.6278
data/sensor/wind_direction.csv_85,Huffman,223,85,38.12,0.023,0.013,true,2.9120,3.9069,0.6380
data/sensor/wind_direction.csv_86,Huffman,219,83,37.90,0.020,0.011,true,2.9092,3.9069,0.6083
data/sensor/wind_direction.csv_87,Huffman,218,82,37.61,0.018,0.011,true,2.8593,3.8074,0.6667
data/sensor/wind_direction.csv_88,Huffman,221,82,37.10,0.020,0.011,true,2.8407,3.9069,0.6393
data/sensor/wind_direction.csv_89,Huffman,222,85,38.29,0.018,0.011,true,2.9265,3.9069,0.6364
data/sensor/wind_direction.csv_90,Huffman,212,80,37.74,0.028,0.011,true,2.8864,3.9069,0.6286
data/sensor/wind_direction.csv_91,Huffman,208,77,37.02,0.018,0.010,true,2.8198,3.9069,0.6262
data/sensor/wind_direction.csv_92,Huffman,212,79,37.26,0.018,0.010,true,2.8334,3.9069,0.6524
data/sensor/wind_direction.csv_93,Huffman,215,83,38.60,0.019,0.012,true,2.9662,3.9069,0.5822
data/sensor/wind_direction.csv_94,Huffman,210,78,37.14,0.018,0.011,true,2.8382,3.9069,0.6154
data/sensor/wind_direction.csv_95,Huffman,212,81,38.21,0.018,0.011,true,2.9457,3.9069,0.5524
data/sensor/wind_direction.csv_96,Huffman,209,76,36.36,0.019,0.010,true,2.7902,3.8074,0.6570
data/sensor/wind_direction.csv_97,Huffman,210,78,37.14,0.019,0.012,true,2.8503,3.9069,0.6106
data/sensor/wind_direction.csv_98,Huffman,205,73,35.61,0.016,0.011,true,2.7174,3.8074,0.6552
data/sensor/wind_direction.csv_99,Huffman,210,75,35.71,0.017,0.010,true,2.7484,3.8074,0.6538
data/sensor/wind_direction.csv_100,Huffman,214,79,36.92,0.018,0.010,true,2.8352,3.9069,0.6085
data/sensor/wind_direction.csv_101,Huffman,217,80,36.87,0.024,0.010,true,2.8053,3.8074,0.6465
data/sensor/wind_direction.csv_102,Huffman,222,82,36.94,0.018,0.011,true,2.8411,3.9069,0.6409
data/sensor/wind_direction.csv_103,Huffman,215,81,37.67,0.018,0.013,true,2.8614,3.8074,0.6291
data/sensor/wind_direction.csv_104,Huffman,218,84,38.53,0.019,0.011,true,2.9578,3.9069,0.5787
data/sensor/wind_direction.csv_105,Huffman,221,88,39.82,0.019,0.011,true,3.0525,3.9069,0.5753
data/sensor/wind_direction.csv_106,Huffman,225,89,39.56,0.020,0.013,true,3.0441,3.9069,0.5605
data/sensor/wind_direction.csv_107,Huffman,221,88,39.82,0.019,0.012,true,3.0569,3.9069,0.5662
data/sensor/wind_direction.csv_108,Huffman,222,87,39.19,0.019,0.292,true,3.0151,3.9069,0.5636
data/sensor/wind_direction.csv_109,Huffman,224,89,39.73,0.020,0.013,true,3.0493,3.9069,0.5721
data/sensor/wind_direction.csv_110,Huffman,212,79,37.26,0.019,0.012,true,2.8609,3.9069,0.6476
data/sensor/wind_direction.csv_111,Huffman,216,81,37.50,0.018,0.011,true,2.8666,3.9069,0.6589
data/sensor/wind_direction.csv_112,Huffman,210,80,38.10,0.019,0.011,true,2.9175,3.9069,0.6010
data/sensor/wind_direction.csv_113,Huffman,221,84,38.01,0.020,0.012,true,2.9184,3.9069,0.6347
data/sensor/wind_direction.csv_114,Huffman,213,80,37.56,0.018,0.010,true,2.8759,3.9069,0.6114
data/sensor/wind_direction.csv_115,Huffman,215,80,37.21,0.018,0.011,true,2.8550,3.9069,0.6385
data/sensor/wind_direction.csv_116,Huffman,214,81,37.85,0.018,0.011,true,2.8915,3.9069,0.6415
data/sensor/wind_direction.csv_117,Huffman,210,79,37.62,0.020,0.011,true,2.8971,3.9069,0.6346
data/sensor/wind_direction.csv_118,Huffman,217,88,40.55,0.021,0.014,true,3.1283,3.9069,0.5535
data/sensor/wind_direction.csv_119,Huffman,213,76,35.68,0.018,0.010,true,2.7537,3.9069,0.6777
data/sensor/wind_direction.csv_120,Huffman,211,78,36.97,0.018,0.010,true,2.8113,3.9069,0.6411
data/sensor/wind_direction.csv_121,Huffman,211,80,37.91,0.018,0.019,true,2.8986,3.8074,0.6603
data/sensor/wind_direction.csv_122,Huffman,214,81,37.85,0.018,0.011,true,2.8844,3.9069,0.5708
data/sensor/wind_direction.csv_123,Huffman,216,83,38.43,0.020,0.012,true,2.9558,3.9069,0.5794
data/sensor/wind_direction.csv_124,Huffman,213,83,38.97,0.018,0.012,true,2.9705,3.9069,0.5640
data/sensor/wind_direction.csv_125,Huffman,218,83,38.07,0.019,0.011,true,2.9250,3.9069,0.6620
data/sensor/wind_direction.csv_126,Huffman,215,79,36.74,0.020,0.011,true,2.8206,3.9069,0.6620
