File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/wind_speed.csv_1,Huffman,364,214,58.79,0.091,0.040,true,4.6332,5.4594,0.1215
data/sensor/wind_speed.csv_2,Huffman,58,16,27.59,0.013,0.006,true,1.9464,3.1699,0.5893
data/sensor/wind_speed.csv_3,Huffman,163,55,33.74,0.019,0.015,true,2.5796,3.5850,0.7578
data/sensor/wind_speed.csv_4,Huffman,163,55,33.74,0.017,0.010,true,2.5757,3.5850,0.7578
data/sensor/wind_speed.csv_5,Huffman,163,55,33.74,0.019,0.010,true,2.5990,3.7004,0.7578
data/sensor/wind_speed.csv_6,Huffman,163,55,33.74,0.019,0.010,true,2.5933,3.7004,0.7578
data/sensor/wind_speed.csv_7,Huffman,163,55,33.74,0.017,0.010,true,2.5850,3.7004,0.7578
data/sensor/wind_speed.csv_8,Huffman,163,55,33.74,0.017,0.010,true,2.5682,3.5850,0.7764
data/sensor/wind_speed.csv_9,Huffman,163,55,33.74,0.017,0.009,true,2.6127,3.7004,0.7578
data/sensor/wind_speed.csv_10,Huffman,163,55,33.74,0.016,0.010,true,2.5724,3.5850,0.7640
data/sensor/wind_speed.csv_11,Huffman,163,55,33.74,0.018,0.010,true,2.5912,3.5850,0.7578
data/sensor/wind_speed.csv_12,Huffman,163,55,33.74,0.016,0.010,true,2.5888,3.5850,0.7578
data/sensor/wind_speed.csv_13,Huffman,163,55,33.74,0.022,0.012,true,2.6075,3.5850,0.7578
data/sensor/wind_speed.csv_14,Huffman,163,55,33.74,0.017,0.009,true,2.5751,3.5850,0.7702
data/sensor/wind_speed.csv_15,Huffman,163,55,33.74,0.017,0.009,true,2.5939,3.5850,0.7578
data/sensor/wind_speed.csv_16,Huffman,163,56,34.36,0.023,0.010,true,2.6286,3.5850,0.7578
data/sensor/wind_speed.csv_17,Huffman,163,56,34.36,0.019,0.009,true,2.6275,3.5850,0.7578
