File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/wind_speed.csv_1,LZW,364,303,83.24,0.026,0.010,true,4.6332,5.4594,0.1215
data/sensor/wind_speed.csv_2,LZW,58,34,58.62,0.007,0.002,true,1.9464,3.1699,0.5893
data/sensor/wind_speed.csv_3,LZW,163,78,47.85,0.010,0.003,true,2.5796,3.5850,0.7578
data/sensor/wind_speed.csv_4,LZW,163,79,48.47,0.008,0.009,true,2.5757,3.5850,0.7578
data/sensor/wind_speed.csv_5,LZW,163,80,49.08,0.007,0.003,true,2.5990,3.7004,0.7578
data/sensor/wind_speed.csv_6,LZW,163,80,49.08,0.007,0.002,true,2.5933,3.7004,0.7578
data/sensor/wind_speed.csv_7,LZW,163,79,48.47,0.007,0.003,true,2.5850,3.7004,0.7578
data/sensor/wind_speed.csv_8,LZW,163,77,47.24,0.007,0.002,true,2.5682,3.5850,0.7764
data/sensor/wind_speed.csv_9,LZW,163,79,48.47,0.007,0.002,true,2.6127,3.7004,0.7578
data/sensor/wind_speed.csv_10,LZW,163,80,49.08,0.007,0.003,true,2.5724,3.5850,0.7640
data/sensor/wind_speed.csv_11,LZW,163,81,49.69,0.007,0.002,true,2.5912,3.5850,0.7578
data/sensor/wind_speed.csv_12,LZW,163,81,49.69,0.006,0.002,true,2.5888,3.5850,0.7578
data/sensor/wind_speed.csv_13,LZW,163,83,50.92,0.006,0.305,true,2.6075,3.5850,0.7578
data/sensor/wind_speed.csv_14,LZW,163,84,51.53,0.008,0.002,true,2.5751,3.5850,0.7702
data/sensor/wind_speed.csv_15,LZW,163,84,51.53,0.004,0.002,true,2.5939,3.5850,0.7578
data/sensor/wind_speed.csv_16,LZW,163,84,51.53,0.004,0.003,true,2.6286,3.5850,0.7578
data/sensor/wind_speed.csv_17,LZW,163,83,50.92,0.003,0.009,true,2.6275,3.5850,0.7578
data/sensor/wind_speed.csv_18,LZW,163,84,51.53,0.005,0.002,true,2.6298,3.5850,0.7578
data/sensor/wind_speed.csv_19,LZW,163,80,49.08,0.004,0.003,true,2.6193,3.7004,0.7578
data/sensor/wind_speed.csv_20,LZW,163,85,52.15,0.004,0.002,true,2.6669,3.7004,0.7391
data/sensor/wind_speed.csv_21,LZW,163,85,52.15,0.004,0.002,true,2.6792,3.8074,0.7391
data/sensor/wind_speed.csv_22,LZW,163,84,51.53,0.004,0.003,true,2.6749,3.8074,0.7391
data/sensor/wind_speed.csv_23,LZW,163,84,51.53,0.004,0.002,true,2.6404,3.7004,0.7391
data/sensor/wind_speed.csv_24,LZW,163,83,50.92,0.005,0.002,true,2.6087,3.5850,0.7640
data/sensor/wind_speed.csv_25,LZW,163,83,50.92,0.005,0.003,true,2.6346,3.5850,0.7578
data/sensor/wind_speed.csv_26,LZW,163,80,49.08,0.005,0.002,true,2.6425,3.5850,0.7578
data/sensor/wind_speed.csv_27,LZW,163,84,51.53,0.005,0.002,true,2.6420,3.5850,0.7578
data/sensor/wind_speed.csv_28,LZW,163,86,52.76,0.007,0.006,true,2.6558,3.5850,0.7578
data/sensor/wind_speed.csv_29,LZW,163,86,52.76,0.007,0.002,true,2.6837,3.5850,0.7578
data/sensor/wind_speed.csv_30,LZW,163,85,52.15,0.007,0.002,true,2.6410,3.5850,0.7578
data/sensor/wind_speed.csv_31,LZW,163,85,52.15,0.007,0.003,true,2.6665,3.7004,0.7391
data/sensor/wind_speed.csv_32,LZW,163,87,53.37,0.006,0.002,true,2.7807,3.8074,0.7391
data/sensor/wind_speed.csv_33,LZW,163,84,51.53,0.006,0.003,true,2.6600,3.5850,0.7764
data/sensor/wind_speed.csv_34,LZW,163,84,51.53,0.100,0.285,true,2.7097,3.7004,0.7453
data/sensor/wind_speed.csv_35,LZW,163,85,52.15,0.043,0.008,true,2.7287,3.7004,0.7391
data/sensor/wind_speed.csv_36,LZW,163,86,52.76,0.037,0.007,true,2.7161,3.5850,0.7578
data/sensor/wind_speed.csv_37,LZW,163,89,54.60,0.033,0.013,true,2.7974,3.8074,0.7205
data/sensor/wind_speed.csv_38,LZW,163,83,50.92,0.012,0.008,true,2.7230,3.7004,0.7516
data/sensor/wind_speed.csv_39,LZW,163,84,51.53,0.012,0.008,true,2.7381,3.7004,0.7391
data/sensor/wind_speed.csv_40,LZW,163,85,52.15,0.010,0.005,true,2.6688,3.7004,0.7391
data/sensor/wind_speed.csv_41,LZW,163,85,52.15,0.009,0.004,true,2.6269,3.5850,0.7578
data/sensor/wind_speed.csv_42,LZW,163,87,53.37,0.009,0.004,true,2.6834,3.7004,0.7391
data/sensor/wind_speed.csv_43,LZW,163,81,49.69,0.008,0.004,true,2.6884,3.8074,0.7205
data/sensor/wind_speed.csv_44,LZW,164,88,53.66,0.013,0.004,true,2.6948,3.8074,0.7284
data/sensor/wind_speed.csv_45,LZW,163,86,52.76,0.011,0.028,true,2.6567,3.7004,0.7391
data/sensor/wind_speed.csv_46,LZW,163,83,50.92,0.011,0.004,true,2.5165,3.7004,0.7391
data/sensor/wind_speed.csv_47,LZW,163,83,50.92,0.010,0.004,true,2.6245,3.8074,0.7391
data/sensor/wind_speed.csv_48,LZW,163,80,49.08,0.010,0.003,true,2.5783,3.7004,0.7453
data/sensor/wind_speed.csv_49,LZW,163,81,49.69,0.009,0.004,true,2.4807,3.4594,0.7764
data/sensor/wind_speed.csv_50,LZW,163,81,49.69,0.009,0.007,true,2.6793,3.7004,0.7391
data/sensor/wind_speed.csv_51,LZW,163,85,52.15,0.009,0.004,true,2.6984,3.7004,0.7391
data/sensor/wind_speed.csv_52,LZW,163,85,52.15,0.009,0.004,true,2.6702,3.5850,0.7578
data/sensor/wind_speed.csv_53,LZW,163,84,51.53,0.008,0.003,true,2.7147,3.5850,0.7578
data/sensor/wind_speed.csv_54,LZW,163,85,52.15,0.009,0.003,true,2.6426,3.5850,0.7578
data/sensor/wind_speed.csv_55,LZW,163,86,52.76,0.009,0.004,true,2.6956,3.7004,0.7578
data/sensor/wind_speed.csv_56,LZW,163,87,53.37,0.009,0.003,true,2.7605,3.7004,0.7391
data/sensor/wind_speed.csv_57,LZW,163,87,53.37,0.009,0.003,true,2.7378,3.7004,0.7578
data/sensor/wind_speed.csv_58,LZW,163,84,51.53,0.010,0.004,true,2.7408,3.7004,0.7453
data/sensor/wind_speed.csv_59,LZW,163,84,51.53,0.009,0.003,true,2.7806,3.7004,0.7391
data/sensor/wind_speed.csv_60,LZW,163,81,49.69,0.009,0.003,true,2.7569,3.5850,0.7578
data/sensor/wind_speed.csv_61,LZW,163,87,53.37,0.009,0.004,true,2.7063,3.7004,0.7391
data/sensor/wind_speed.csv_62,LZW,163,83,50.92,0.009,0.004,true,2.5733,3.5850,0.7888
data/sensor/wind_speed.csv_63,LZW,163,83,50.92,0.009,0.003,true,2.6117,3.5850,0.7578
data/sensor/wind_speed.csv_64,LZW,163,83,50.92,0.009,0.004,true,2.6303,3.5850,0.7578
data/sensor/wind_speed.csv_65,LZW,163,80,49.08,0.009,0.003,true,2.5249,3.4594,0.7764
data/sensor/wind_speed.csv_66,LZW,163,78,47.85,0.009,0.004,true,2.5368,3.4594,0.7764
data/sensor/wind_speed.csv_67,LZW,163,80,49.08,0.009,0.004,true,2.5030,3.5850,0.7578
data/sensor/wind_speed.csv_68,LZW,163,84,51.53,0.010,0.003,true,2.5814,3.5850,0.7578
data/sensor/wind_speed.csv_69,LZW,163,80,49.08,0.009,0.003,true,2.4735,3.7004,0.7391
data/sensor/wind_speed.csv_70,LZW,163,81,49.69,0.009,0.186,true,2.5179,3.7004,0.7391
data/sensor/wind_speed.csv_71,LZW,163,80,49.08,0.019,0.004,true,2.5234,3.5850,0.7764
data/sensor/wind_speed.csv_72,LZW,163,83,50.92,0.016,0.004,true,2.5318,3.5850,0.7640
data/sensor/wind_speed.csv_73,LZW,163,83,50.92,0.009,0.007,true,2.5277,3.4594,0.7764
data/sensor/wind_speed.csv_74,LZW,164,80,48.78,0.010,0.003,true,2.5565,3.5850,0.7469
data/sensor/wind_speed.csv_75,LZW,163,81,49.69,0.010,0.003,true,2.5535,3.5850,0.7578
data/sensor/wind_speed.csv_76,LZW,163,83,50.92,0.010,0.005,true,2.5520,3.5850,0.7578
data/sensor/wind_speed.csv_77,LZW,163,81,49.69,0.010,0.004,true,2.6131,3.7004,0.7391
data/sensor/wind_speed.csv_78,LZW,164,87,53.05,0.011,0.004,true,2.6653,3.7004,0.7469
data/sensor/wind_speed.csv_79,LZW,164,86,52.44,0.010,0.004,true,2.7294,3.7004,0.7284
data/sensor/wind_speed.csv_80,LZW,164,85,51.83,0.010,0.004,true,2.6805,3.7004,0.7469
data/sensor/wind_speed.csv_81,LZW,164,85,51.83,0.010,0.004,true,2.7177,3.7004,0.7469
data/sensor/wind_speed.csv_82,LZW,164,83,50.61,0.010,0.005,true,2.7485,3.7004,0.7346
data/sensor/wind_speed.csv_83,LZW,164,87,53.05,0.010,0.004,true,2.7526,3.5850,0.7469
data/sensor/wind_speed.csv_84,LZW,164,86,52.44,0.010,0.004,true,2.7672,3.5850,0.7469
data/sensor/wind_speed.csv_85,LZW,163,88,53.99,0.010,0.005,true,2.7759,3.7004,0.7391
data/sensor/wind_speed.csv_86,LZW,163,84,51.53,0.010,0.007,true,2.6671,3.8074,0.7329
data/sensor/wind_speed.csv_87,LZW,164,83,50.61,0.009,0.003,true,2.6860,3.7004,0.7469
data/sensor/wind_speed.csv_88,LZW,163,79,48.47,0.009,0.004,true,2.6620,3.4594,0.7764
data/sensor/wind_speed.csv_89,LZW,163,81,49.69,0.009,0.003,true,2.6436,3.5850,0.7578
data/sensor/wind_speed.csv_90,LZW,163,85,52.15,0.010,0.003,true,2.6469,3.7004,0.7391
data/sensor/wind_speed.csv_91,LZW,163,83,50.92,0.009,0.003,true,2.5831,3.5850,0.7578
data/sensor/wind_speed.csv_92,LZW,163,83,50.92,0.009,0.003,true,2.5908,3.5850,0.7578
data/sensor/wind_speed.csv_93,LZW,163,81,49.69,0.008,0.003,true,2.6295,3.5850,0.7764
data/sensor/wind_speed.csv_94,LZW,163,85,52.15,0.009,0.004,true,2.5740,3.8074,0.7391
data/sensor/wind_speed.csv_95,LZW,163,80,49.08,0.009,0.003,true,2.5890,3.7004,0.7764
data/sensor/wind_speed.csv_96,LZW,163,80,49.08,0.009,0.003,true,2.5660,3.7004,0.7640
data/sensor/wind_speed.csv_97,LZW,163,83,50.92,0.009,0.004,true,2.5868,3.5850,0.7578
data/sensor/wind_speed.csv_98,LZW,163,81,49.69,0.008,0.003,true,2.6013,3.7004,0.7391
data/sensor/wind_speed.csv_99,LZW,163,85,52.15,0.008,0.003,true,2.6895,3.8074,0.7391
data/sensor/wind_speed.csv_100,LZW,163,85,52.15,0.009,0.004,true,2.7593,3.8074,0.7205
data/sensor/wind_speed.csv_101,LZW,163,90,55.21,0.009,0.003,true,2.8142,3.8074,0.7205
data/sensor/wind_speed.csv_102,LZW,163,85,52.15,0.009,0.003,true,2.8047,3.7004,0.7391
data/sensor/wind_speed.csv_103,LZW,163,83,50.92,0.009,0.008,true,2.6586,3.8074,0.7391
data/sensor/wind_speed.csv_104,LZW,164,85,51.83,0.020,0.003,true,2.6461,3.5850,0.7654
data/sensor/wind_speed.csv_105,LZW,164,80,48.78,0.011,0.003,true,2.6391,3.7004,0.7469
data/sensor/wind_speed.csv_106,LZW,164,87,53.05,0.015,0.090,true,2.6793,3.5850,0.7531
data/sensor/wind_speed.csv_107,LZW,164,85,51.83,0.034,0.010,true,2.6460,3.7004,0.7284
data/sensor/wind_speed.csv_108,LZW,163,83,50.92,0.090,0.004,true,2.6604,3.7004,0.7391
data/sensor/wind_speed.csv_109,LZW,163,84,51.53,0.009,0.003,true,2.6389,3.7004,0.7578
data/sensor/wind_speed.csv_110,LZW,163,84,51.53,0.008,0.007,true,2.6267,3.8074,0.7329
data/sensor/wind_speed.csv_111,LZW,163,83,50.92,0.009,0.006,true,2.7169,3.8074,0.7205
data/sensor/wind_speed.csv_112,LZW,163,80,49.08,0.009,0.004,true,2.4167,3.5850,0.7578
data/sensor/wind_speed.csv_113,LZW,163,84,51.53,0.009,0.003,true,2.7418,3.7004,0.7391
data/sensor/wind_speed.csv_114,LZW,163,84,51.53,0.009,0.003,true,2.6984,3.7004,0.7391
data/sensor/wind_speed.csv_115,LZW,163,86,52.76,0.009,0.004,true,2.7230,3.7004,0.7391
data/sensor/wind_speed.csv_116,LZW,163,84,51.53,0.010,0.003,true,2.6910,3.7004,0.7578
data/sensor/wind_speed.csv_117,LZW,163,80,49.08,0.010,0.003,true,2.5125,3.7004,0.7578
data/sensor/wind_speed.csv_118,LZW,163,84,51.53,0.011,0.004,true,2.6331,3.7004,0.7578
data/sensor/wind_speed.csv_119,LZW,163,85,52.15,0.010,0.003,true,2.6842,3.8074,0.7205
data/sensor/wind_speed.csv_120,LZW,163,83,50.92,0.010,0.003,true,2.5942,3.7004,0.7453
data/sensor/wind_speed.csv_121,LZW,163,83,50.92,0.010,0.004,true,2.5911,3.5850,0.7578
data/sensor/wind_speed.csv_122,LZW,163,86,52.76,0.010,0.003,true,2.6447,3.5850,0.7578
data/sensor/wind_speed.csv_123,LZW,163,79,48.47,0.009,0.006,true,2.5709,3.5850,0.7764
data/sensor/wind_speed.csv_124,LZW,163,80,49.08,0.009,0.004,true,2.5239,3.5850,0.7578
